OTU	Test-Statistic	P	FDR_P	Bonferroni_P	MN_mean	MT_mean	TL_mean	SM_mean	TC_mean	TA_mean	taxonomy
New.ReferenceOTU129	4.25490196078	0.513329959917	0.529321547453	1.0	4.66666666667	0.0	0.0	0.0	0.0	1.66666666667	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Arcobacter; s__
New.ReferenceOTU14	4.25490196078	0.513329959917	0.529321547453	1.0	0.0	0.0	0.0	0.0	14.3333333333	33.0	Unassigned
New.ReferenceOTU80	4.25490196078	0.513329959917	0.529321547453	1.0	0.0	0.0	0.0	1.0	0.0	2.33333333333	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Sva0853; f__; g__; s__
New.ReferenceOTU53	4.25490196078	0.513329959917	0.529321547453	1.0	0.0	0.0	0.0	2.0	0.0	0.666666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
New.ReferenceOTU26	3.7401411374	0.587401861105	0.603819925545	1.0	0.0	4.0	13.0	1.33333333333	0.666666666667	10.3333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Methylosinus; s__
221513	3.52184585174	0.620084681511	0.635442816038	1.0	5.66666666667	0.0	0.666666666667	2.0	0.666666666667	0.333333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__
229118	3.42216788916	0.635195937836	0.637960182065	1.0	0.0	0.0	2.0	0.0	0.333333333333	5.33333333333	k__Bacteria; p__SAR406; c__AB16; o__Arctic96B-7; f__A714017; g__ZA3312c; s__
233724	3.42216788916	0.635195937836	0.637960182065	1.0	0.0	0.0	4.66666666667	0.0	0.333333333333	1.66666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__
137107	3.42216788916	0.635195937836	0.637960182065	1.0	0.0	0.0	3.33333333333	0.0	0.666666666667	0.333333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Candidatus Portiera; s__
New.ReferenceOTU92	3.42216788916	0.635195937836	0.637960182065	1.0	0.0	0.0	3.66666666667	0.0	0.666666666667	0.333333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
New.CleanUp.ReferenceOTU637	3.42216788916	0.635195937836	0.637960182065	1.0	1.66666666667	0.0	0.0	3.0	0.0	0.333333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; g__Thalassomonas; s__
306634	3.41666666667	0.636032809914	0.637960182065	1.0	0.0	0.0	6.0	0.0	0.666666666667	0.666666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Candidatus Portiera; s__
227690	3.41666666667	0.636032809914	0.637960182065	1.0	0.333333333333	0.0	2.0	0.0	0.0	2.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
3001126	2.4915693904	0.777764199072	0.777764199072	1.0	0.0	1.33333333333	7.33333333333	0.0	0.666666666667	0.333333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae; g__; s__
