# Constructed from biom file
#OTU ID	MN	MT	SM	TA	TC	TL
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae	5.26777875329e-05	0.00029192605513	6.24375624376e-05	0.0011156319727	0.000116520692133	0.00151725679971
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae	0.0	0.0	0.0	0.000382814892593	0.000116520692133	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae	0.0	0.0	0.0	0.000328127050794	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__	5.26777875329e-05	0.0060063785843	2.08125208125e-05	0.00191407446297	0.000194201153555	0.00418443454235
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	1.7559262511e-05	0.000591150261639	1.04062604063e-05	0.000218751367196	7.76804614219e-05	0.000159711242074
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__	0.000860403863038	0.0176469300326	0.0103334165834	0.0743098394365	0.0183325888956	0.21249580758
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__	0.00214223002634	0.0	0.0	0.000382814892593	1.94201153555e-05	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae	0.00119402985075	0.0	2.08125208125e-05	0.000240626503916	1.94201153555e-05	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;Other	0.000491659350307	0.0	1.04062604063e-05	1.09375683598e-05	0.0	3.19422484149e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	0.0	0.000350311266156	0.000197718947719	0.0	0.000135940807488	0.00142143005446
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	5.26777875329e-05	0.0319732011881	0.000884532134532	0.00973443584022	0.00155360922844	0.0256815677256
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	0.00377524143986	0.000810094802986	0.0001665001665	0.00484534278339	0.00099042588313	0.0160509798285
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	1.7559262511e-05	0.00162018960597	0.0	0.000317189482434	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae	1.7559262511e-05	0.000591150261639	0.000187312687313	0.00113750710942	0.000174781038199	0.00156517017233
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae	0.0	0.0	0.0	0.0011156319727	0.00132056784417	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.0345741878841	0.0	0.000374625374625	0.00112656954106	0.000135940807488	0.000862440707201
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae	7.02370500439e-05	0.000386802023048	0.00041625041625	0.00129063306646	3.8840230711e-05	0.00533435548528
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	0.000772607550483	0.0327322089315	0.00708666333666	0.0630660191626	0.0113413473676	0.1330075224
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__	0.0	0.00189751935835	0.0	0.000273439208995	1.94201153555e-05	0.000527047098845
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae	1.7559262511e-05	8.02796651608e-05	0.000197718947719	0.00275626722667	0.00170897015128	0.00344976282881
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0.0	0.000759007743339	0.0	1.09375683598e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	1.7559262511e-05	0.00179534523905	0.000624375624376	0.00251564072275	0.000504922999243	0.0106846820948
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.0	0.0	0.0	0.0	0.0	0.000702729465127
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	0.0	0.00150341918392	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__	0.0123968393327	0.0	0.0	0.0	0.0	0.0
