	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_1740_5.txt	1740	5	41.0	17.0	27.0	32.0	17.0	19.0
alpha_rarefaction_1740_6.txt	1740	6	40.0	16.0	19.0	30.0	11.0	19.0
alpha_rarefaction_1740_7.txt	1740	7	49.0	22.0	29.0	31.0	15.0	16.0
alpha_rarefaction_1740_8.txt	1740	8	38.0	19.0	23.0	33.0	19.0	20.0
alpha_rarefaction_1740_9.txt	1740	9	41.0	18.0	19.0	31.0	20.0	18.0
alpha_rarefaction_2086_0.txt	2086	0	38.0	15.0	29.0	38.0	9.0	19.0
alpha_rarefaction_2086_1.txt	2086	1	35.0	23.0	21.0	29.0	14.0	25.0
alpha_rarefaction_2086_2.txt	2086	2	29.0	18.0	14.0	29.0	15.0	15.0
alpha_rarefaction_2086_3.txt	2086	3	45.0	14.0	23.0	34.0	14.0	19.0
alpha_rarefaction_2086_4.txt	2086	4	38.0	21.0	27.0	28.0	20.0	21.0
alpha_rarefaction_2086_5.txt	2086	5	29.0	19.0	21.0	29.0	12.0	13.0
alpha_rarefaction_2086_6.txt	2086	6	33.0	17.0	22.0	35.0	18.0	17.0
alpha_rarefaction_2086_7.txt	2086	7	40.0	14.0	23.0	35.0	14.0	14.0
alpha_rarefaction_2086_8.txt	2086	8	30.0	21.0	25.0	28.0	8.0	17.0
alpha_rarefaction_2086_9.txt	2086	9	40.0	17.0	25.0	30.0	14.0	21.0
alpha_rarefaction_2432_0.txt	2432	0	32.0	13.0	23.0	39.0	14.0	18.0
alpha_rarefaction_2432_1.txt	2432	1	40.0	11.0	28.0	33.0	9.0	25.0
alpha_rarefaction_2432_2.txt	2432	2	38.0	17.0	26.0	36.0	15.0	19.0
alpha_rarefaction_2432_3.txt	2432	3	36.0	18.0	25.0	27.0	12.0	17.0
alpha_rarefaction_2432_4.txt	2432	4	35.0	16.0	27.0	30.0	12.0	19.0
alpha_rarefaction_2432_5.txt	2432	5	34.0	15.0	28.0	29.0	15.0	13.0
alpha_rarefaction_2432_6.txt	2432	6	38.0	21.0	23.0	26.0	6.0	21.0
alpha_rarefaction_2432_7.txt	2432	7	34.0	18.0	28.0	28.0	17.0	19.0
alpha_rarefaction_2432_8.txt	2432	8	31.0	20.0	28.0	34.0	9.0	12.0
alpha_rarefaction_2432_9.txt	2432	9	29.0	15.0	28.0	30.0	18.0	17.0
alpha_rarefaction_2778_0.txt	2778	0	32.0	12.0	29.0	31.0	16.0	20.0
alpha_rarefaction_2778_1.txt	2778	1	30.0	13.0	29.0	30.0	11.0	16.0
alpha_rarefaction_2778_2.txt	2778	2	33.0	12.0	18.0	27.0	14.0	15.0
alpha_rarefaction_2778_3.txt	2778	3	29.0	16.0	24.0	33.0	14.0	20.0
alpha_rarefaction_2778_4.txt	2778	4	24.0	16.0	32.0	30.0	15.0	19.0
alpha_rarefaction_2778_5.txt	2778	5	30.0	19.0	26.0	29.0	14.0	15.0
alpha_rarefaction_2778_6.txt	2778	6	28.0	20.0	31.0	37.0	13.0	24.0
alpha_rarefaction_2778_7.txt	2778	7	41.0	17.0	23.0	27.0	12.0	16.0
alpha_rarefaction_2778_8.txt	2778	8	33.0	15.0	31.0	25.0	12.0	13.0
alpha_rarefaction_2778_9.txt	2778	9	28.0	11.0	30.0	31.0	16.0	16.0
alpha_rarefaction_3124_0.txt	3124	0	37.0	15.0	22.0	28.0	17.0	20.0
alpha_rarefaction_3124_1.txt	3124	1	28.0	10.0	25.0	21.0	10.0	20.0
alpha_rarefaction_3124_2.txt	3124	2	30.0	10.0	27.0	27.0	13.0	23.0
alpha_rarefaction_3124_3.txt	3124	3	29.0	16.0	22.0	28.0	13.0	20.0
alpha_rarefaction_3124_4.txt	3124	4	30.0	14.0	35.0	32.0	13.0	19.0
alpha_rarefaction_3124_5.txt	3124	5	24.0	13.0	32.0	26.0	16.0	16.0
