	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_2086_8.txt	2086	8	125.0	76.0	84.0	71.0	23.0	42.0
alpha_rarefaction_2086_9.txt	2086	9	126.0	74.0	87.0	74.0	28.0	46.0
alpha_rarefaction_2432_0.txt	2432	0	130.0	73.0	88.0	83.0	34.0	40.0
alpha_rarefaction_2432_1.txt	2432	1	130.0	72.0	89.0	78.0	28.0	49.0
alpha_rarefaction_2432_2.txt	2432	2	133.0	75.0	89.0	79.0	33.0	46.0
alpha_rarefaction_2432_3.txt	2432	3	136.0	74.0	93.0	78.0	33.0	38.0
alpha_rarefaction_2432_4.txt	2432	4	129.0	77.0	90.0	76.0	33.0	45.0
alpha_rarefaction_2432_5.txt	2432	5	128.0	77.0	88.0	75.0	32.0	45.0
alpha_rarefaction_2432_6.txt	2432	6	135.0	75.0	86.0	75.0	28.0	48.0
alpha_rarefaction_2432_7.txt	2432	7	133.0	73.0	86.0	72.0	35.0	45.0
alpha_rarefaction_2432_8.txt	2432	8	134.0	76.0	88.0	78.0	29.0	38.0
alpha_rarefaction_2432_9.txt	2432	9	130.0	74.0	91.0	77.0	36.0	45.0
alpha_rarefaction_2778_0.txt	2778	0	139.0	74.0	93.0	82.0	36.0	49.0
alpha_rarefaction_2778_1.txt	2778	1	137.0	76.0	96.0	81.0	32.0	41.0
alpha_rarefaction_2778_2.txt	2778	2	139.0	77.0	84.0	78.0	34.0	49.0
alpha_rarefaction_2778_3.txt	2778	3	135.0	78.0	93.0	83.0	36.0	50.0
alpha_rarefaction_2778_4.txt	2778	4	140.0	75.0	97.0	85.0	36.0	49.0
alpha_rarefaction_2778_5.txt	2778	5	131.0	75.0	95.0	78.0	35.0	44.0
alpha_rarefaction_2778_6.txt	2778	6	142.0	80.0	96.0	83.0	33.0	48.0
alpha_rarefaction_2778_7.txt	2778	7	133.0	73.0	89.0	83.0	34.0	43.0
