	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_1586_7.txt	1586	7	7.67469	6.28749	8.09199	8.42274	5.1039	5.82632	3.83658	4.48314	5.13139	7.78283	6.20378	3.34658	5.00062	4.39104	4.41221	8.37881	2.59562	8.43445
alpha_rarefaction_1586_8.txt	1586	8	6.83113	5.59958	7.92635	8.16968	5.7817	5.54441	3.91788	4.37342	6.05726	7.81588	6.40906	3.1869	4.90017	3.89462	4.40728	7.66282	2.58852	8.3448
alpha_rarefaction_1586_9.txt	1586	9	7.17721	6.4569	7.10818	8.20118	5.34698	5.98627	3.74674	4.14397	5.47378	8.00806	6.41312	3.88673	4.68839	4.06877	4.31471	7.74779	1.83582	8.48495
alpha_rarefaction_2374_0.txt	2374	0	8.48517	6.87283	8.48802	8.77308	6.23132	5.8449	3.93033	4.8913	5.96648	8.44339	6.93431	3.85809	5.39376	3.89838	4.43218	8.79668	2.87038	9.01735
alpha_rarefaction_2374_1.txt	2374	1	7.9209	6.71859	8.278	8.97295	5.58341	6.11027	4.13529	4.57424	6.08266	8.5789	7.25633	3.94163	5.38172	4.30565	5.21986	8.97505	1.98267	8.723
alpha_rarefaction_2374_2.txt	2374	2	8.41936	6.41806	8.45853	9.06891	5.70811	6.01493	4.12695	4.92714	6.23703	8.45662	7.10624	4.20785	5.11068	4.14832	4.79869	8.10688	2.92153	8.90938
alpha_rarefaction_2374_3.txt	2374	3	7.54354	6.95567	8.52436	9.04431	5.82352	6.25157	4.16115	4.81361	5.39733	8.10278	7.19877	3.91871	5.0678	4.4414	4.7359	8.55149	2.08458	8.88
alpha_rarefaction_2374_4.txt	2374	4	7.94298	6.98776	8.13487	8.84894	6.18721	6.26498	4.43188	4.76362	6.17141	8.58148	7.25609	4.01828	5.30057	4.61472	4.64562	8.80308	2.7383	8.81189
alpha_rarefaction_2374_5.txt	2374	5	8.18109	6.33028	8.71024	9.0699	5.86884	6.42468	3.78246	5.18042	6.04146	8.31815	7.2561	3.92096	5.33227	3.8992	4.76053	8.68375	2.69382	8.75273
alpha_rarefaction_2374_6.txt	2374	6	7.89491	6.83019	8.20814	8.71475	5.66496	6.11638	4.15825	4.72445	6.45221	8.3784	6.93763	3.72236	5.47769	4.22804	4.2682	8.57125	3.03312	8.88136
alpha_rarefaction_2374_7.txt	2374	7	8.08973	6.46792	7.64337	9.19025	5.82331	5.99266	4.11208	4.88847	6.05267	8.38941	6.76612	4.20226	5.27985	4.02801	5.35977	8.57255	2.75265	8.96759
