	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_798_0.txt	798	0	27.0	28.0	22.0	23.0	29.0	37.0	7.0	15.0	21.0	23.0	28.0	15.0	13.0	17.0	18.0	22.0	4.0	21.0
alpha_rarefaction_798_1.txt	798	1	29.0	20.0	26.0	23.0	26.0	24.0	14.0	21.0	20.0	18.0	25.0	14.0	15.0	14.0	13.0	26.0	5.0	12.0
alpha_rarefaction_798_2.txt	798	2	22.0	21.0	27.0	27.0	21.0	26.0	14.0	17.0	24.0	19.0	20.0	11.0	18.0	10.0	17.0	17.0	7.0	22.0
alpha_rarefaction_798_3.txt	798	3	21.0	17.0	29.0	27.0	22.0	23.0	10.0	14.0	20.0	20.0	25.0	5.0	14.0	14.0	17.0	22.0	9.0	14.0
alpha_rarefaction_798_4.txt	798	4	32.0	15.0	26.0	24.0	22.0	31.0	7.0	16.0	23.0	16.0	22.0	14.0	15.0	14.0	11.0	21.0	7.0	15.0
alpha_rarefaction_798_5.txt	798	5	19.0	23.0	24.0	26.0	28.0	21.0	11.0	16.0	24.0	19.0	24.0	12.0	21.0	15.0	14.0	19.0	5.0	19.0
alpha_rarefaction_798_6.txt	798	6	25.0	15.0	22.0	31.0	21.0	25.0	10.0	15.0	24.0	20.0	24.0	9.0	10.0	8.0	18.0	29.0	9.0	18.0
alpha_rarefaction_798_7.txt	798	7	21.0	21.0	25.0	32.0	27.0	29.0	11.0	19.0	23.0	16.0	22.0	11.0	20.0	8.0	14.0	23.0	9.0	24.0
alpha_rarefaction_798_8.txt	798	8	27.0	17.0	25.0	26.0	21.0	23.0	8.0	21.0	25.0	17.0	19.0	9.0	16.0	10.0	14.0	13.0	7.0	12.0
alpha_rarefaction_798_9.txt	798	9	22.0	19.0	32.0	20.0	16.0	25.0	12.0	14.0	19.0	17.0	16.0	12.0	16.0	9.0	10.0	19.0	9.0	22.0
alpha_rarefaction_1586_0.txt	1586	0	18.0	26.0	24.0	31.0	28.0	21.0	11.0	14.0	21.0	18.0	19.0	11.0	9.0	12.0	22.0	25.0	13.0	19.0
alpha_rarefaction_1586_1.txt	1586	1	33.0	20.0	22.0	21.0	21.0	20.0	14.0	11.0	23.0	16.0	29.0	13.0	16.0	12.0	20.0	21.0	8.0	24.0
alpha_rarefaction_1586_2.txt	1586	2	22.0	22.0	20.0	23.0	26.0	29.0	12.0	14.0	22.0	16.0	27.0	15.0	15.0	17.0	22.0	20.0	8.0	16.0
alpha_rarefaction_1586_3.txt	1586	3	24.0	19.0	19.0	24.0	25.0	33.0	12.0	14.0	23.0	25.0	22.0	12.0	15.0	11.0	15.0	21.0	8.0	14.0
alpha_rarefaction_1586_4.txt	1586	4	25.0	27.0	26.0	21.0	23.0	25.0	11.0	18.0	17.0	18.0	30.0	16.0	16.0	15.0	14.0	28.0	7.0	16.0
alpha_rarefaction_1586_5.txt	1586	5	20.0	23.0	26.0	25.0	21.0	29.0	17.0	16.0	13.0	15.0	24.0	13.0	12.0	17.0	25.0	20.0	11.0	22.0
alpha_rarefaction_1586_6.txt	1586	6	28.0	16.0	23.0	27.0	24.0	14.0	11.0	16.0	16.0	14.0	26.0	11.0	16.0	16.0	11.0	30.0	7.0	20.0
alpha_rarefaction_1586_7.txt	1586	7	29.0	24.0	17.0	21.0	27.0	26.0	15.0	20.0	16.0	21.0	17.0	14.0	16.0	19.0	22.0	24.0	5.0	12.0
alpha_rarefaction_1586_8.txt	1586	8	20.0	17.0	21.0	23.0	27.0	20.0	14.0	12.0	24.0	14.0	22.0	10.0	18.0	18.0	18.0	23.0	12.0	21.0
alpha_rarefaction_1586_9.txt	1586	9	22.0	23.0	20.0	24.0	24.0	26.0	17.0	9.0	26.0	23.0	24.0	12.0	9.0	15.0	18.0	19.0	6.0	19.0
alpha_rarefaction_2374_0.txt	2374	0	27.0	22.0	21.0	17.0	28.0	24.0	13.0	16.0	17.0	16.0	16.0	13.0	14.0	8.0	20.0	24.0	10.0	20.0
alpha_rarefaction_2374_1.txt	2374	1	26.0	20.0	20.0	26.0	19.0	26.0	13.0	11.0	19.0	18.0	26.0	21.0	17.0	17.0	23.0	20.0	8.0	13.0
alpha_rarefaction_2374_2.txt	2374	2	20.0	23.0	18.0	30.0	31.0	22.0	13.0	11.0	17.0	19.0	27.0	21.0	17.0	12.0	17.0	19.0	15.0	16.0
alpha_rarefaction_2374_3.txt	2374	3	18.0	22.0	36.0	21.0	22.0	23.0	14.0	16.0	18.0	16.0	22.0	16.0	15.0	14.0	25.0	19.0	9.0	13.0
alpha_rarefaction_2374_4.txt	2374	4	20.0	14.0	20.0	24.0	26.0	21.0	15.0	16.0	16.0	20.0	26.0	19.0	13.0	16.0	16.0	22.0	9.0	16.0
alpha_rarefaction_2374_5.txt	2374	5	25.0	19.0	26.0	24.0	24.0	26.0	11.0	18.0	19.0	18.0	29.0	19.0	13.0	13.0	23.0	24.0	10.0	19.0
alpha_rarefaction_2374_6.txt	2374	6	19.0	23.0	22.0	20.0	19.0	23.0	17.0	14.0	19.0	19.0	27.0	15.0	17.0	12.0	13.0	21.0	10.0	9.0
alpha_rarefaction_2374_7.txt	2374	7	27.0	17.0	18.0	25.0	19.0	29.0	14.0	11.0	13.0	16.0	18.0	15.0	17.0	9.0	26.0	18.0	13.0	19.0
alpha_rarefaction_2374_8.txt	2374	8	20.0	18.0	24.0	22.0	25.0	27.0	12.0	16.0	16.0	22.0	22.0	20.0	12.0	17.0	21.0	25.0	11.0	11.0
alpha_rarefaction_2374_9.txt	2374	9	30.0	21.0	27.0	29.0	15.0	24.0	20.0	13.0	21.0	18.0	27.0	10.0	19.0	15.0	19.0	23.0	8.0	14.0
alpha_rarefaction_3162_0.txt	3162	0	22.0	24.0	20.0	28.0	25.0	22.0	22.0	15.0	21.0	13.0	19.0	22.0	7.0	13.0	29.0	24.0	10.0	15.0
