	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_10_0.txt	10	0	2.52192809489	2.92192809489	2.84643934467	3.12192809489	2.37095059445	2.04643934467	1.0	2.84643934467	1.57095059445	1.96096404744	1.96096404744	0.468995593589	1.68547529723	1.52192809489	1.35677964945	2.84643934467	1.48547529723	3.12192809489
alpha_rarefaction_10_1.txt	10	1	2.64643934467	2.64643934467	2.84643934467	2.64643934467	1.77095059445	3.32192809489	1.48547529723	1.96096404744	2.12192809489	2.72192809489	1.89546184424	1.29546184424	1.35677964945	1.72192809489	1.15677964945	2.12192809489	0.881290899231	3.12192809489
alpha_rarefaction_10_2.txt	10	2	3.12192809489	2.32192809489	2.44643934467	2.64643934467	1.57095059445	2.92192809489	1.36096404744	1.96096404744	1.57095059445	3.12192809489	1.72192809489	0.881290899231	1.84643934467	2.17095059445	1.35677964945	2.52192809489	1.72192809489	2.44643934467
alpha_rarefaction_10_3.txt	10	3	2.64643934467	2.04643934467	2.72192809489	2.64643934467	2.32192809489	2.64643934467	2.04643934467	2.64643934467	2.52192809489	2.92192809489	2.16096404744	1.57095059445	2.04643934467	1.68547529723	1.35677964945	2.72192809489	1.68547529723	2.32192809489
alpha_rarefaction_10_4.txt	10	4	2.64643934467	1.35677964945	3.12192809489	3.12192809489	2.52192809489	2.32192809489	1.29546184424	2.16096404744	1.15677964945	2.37095059445	2.16096404744	1.15677964945	2.16096404744	1.48547529723	0.468995593589	2.92192809489	0.970950594455	2.64643934467
alpha_rarefaction_10_5.txt	10	5	2.32192809489	2.64643934467	2.64643934467	2.44643934467	1.77095059445	2.92192809489	1.57095059445	2.17095059445	1.36096404744	3.12192809489	2.32192809489	0.970950594455	2.92192809489	2.04643934467	1.15677964945	2.84643934467	1.29546184424	1.57095059445
alpha_rarefaction_10_6.txt	10	6	2.32192809489	1.35677964945	2.64643934467	2.64643934467	2.16096404744	2.72192809489	1.29546184424	2.72192809489	1.68547529723	2.64643934467	1.29546184424	1.68547529723	2.37095059445	1.36096404744	1.57095059445	2.72192809489	0.721928094887	2.72192809489
alpha_rarefaction_10_7.txt	10	7	2.92192809489	2.92192809489	2.32192809489	2.72192809489	2.32192809489	2.64643934467	1.29546184424	2.32192809489	1.84643934467	2.17095059445	2.64643934467	1.15677964945	1.57095059445	1.52192809489	1.77095059445	2.72192809489	1.36096404744	3.12192809489
alpha_rarefaction_10_8.txt	10	8	2.37095059445	1.96096404744	2.92192809489	2.84643934467	2.64643934467	2.24643934467	1.29546184424	2.04643934467	1.96096404744	2.64643934467	1.57095059445	1.29546184424	1.57095059445	2.04643934467	2.32192809489	2.92192809489	1.48547529723	2.52192809489
alpha_rarefaction_10_9.txt	10	9	2.92192809489	2.64643934467	1.96096404744	2.92192809489	0.921928094887	2.64643934467	2.17095059445	2.32192809489	1.84643934467	3.12192809489	1.96096404744	1.37095059445	1.48547529723	1.15677964945	1.35677964945	2.44643934467	1.96096404744	2.64643934467
alpha_rarefaction_798_0.txt	798	0	4.30602262071	3.45846307128	4.33756669615	4.61508690989	3.70225147408	4.28446459157	1.92806085449	3.61611996541	2.92349318727	4.22913827127	3.02446471233	1.64125534135	2.91131044956	2.32901000384	1.89218247315	4.11860487639	1.59187281238	4.03024083379
alpha_rarefaction_798_1.txt	798	1	4.16684478167	3.56052800437	4.33239608783	4.43919649117	3.71716471727	4.34061896072	2.08701068175	3.51873372234	2.91260003925	4.34425151898	2.93610342729	1.64830391876	2.8158011936	2.30431173572	1.87024648092	4.14135680686	1.64611358474	3.9830184762
alpha_rarefaction_798_2.txt	798	2	4.3051406842	3.49042715268	4.3138699783	4.5098599865	3.75539720256	4.36298483332	1.93886154266	3.42026507097	2.86290308398	4.28728111932	3.0383810197	1.72637401097	2.92987505869	2.23211501727	1.88991498629	4.14592106798	1.59542282499	4.0230058719
alpha_rarefaction_798_3.txt	798	3	4.36795338953	3.3854797168	4.34174478389	4.54391066252	3.55389080771	4.36234126097	1.87933877999	3.47913290212	2.9217610081	4.45678133863	3.15613426011	1.67398408009	3.04076329394	2.35901915906	2.01652044677	4.12718930237	1.74042226689	4.16988883214
alpha_rarefaction_798_4.txt	798	4	4.25760163576	3.55624510332	4.21012208709	4.54994864698	3.63323203294	4.31032770412	1.95777797834	3.44327350218	2.8413589292	4.39378096831	2.84707144521	1.75978889316	2.89343754322	2.25012370629	1.70423491503	4.17713693967	1.53169335679	3.91120829666
alpha_rarefaction_798_5.txt	798	5	4.1748013362	3.52676656841	4.21096356395	4.45296092192	3.7487521782	4.34392262388	1.95733214432	3.63354269811	2.77620361029	4.34752667732	2.78276096486	1.77278200606	2.8853424455	2.33036389691	1.93541639067	4.06946635497	1.63271582002	4.05554718138
alpha_rarefaction_798_6.txt	798	6	4.23543306503	3.48314024616	4.25259648487	4.57222255183	3.53584772461	4.40289058482	2.01171227822	3.49049382188	2.7739344881	4.37871466975	3.0985603566	1.77859807847	2.81792510296	2.20643940937	1.7607549023	4.19969417071	1.73534030611	4.0689044533
alpha_rarefaction_798_7.txt	798	7	4.30744095788	3.51828751669	4.46502093658	4.57295045733	3.62433584746	4.4958582389	1.92813450035	3.54501055029	2.75550835982	4.47460929268	2.83581085265	1.59612953811	2.97098354223	2.12225820714	1.81297099272	4.20131887235	1.7322577746	3.93015990726
