# Constructed from biom file
#OTU ID	bottom	surface
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__	0.000724637681159	0.0
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__	0.00144927536232	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X	0.0166666666667	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.00217391304348	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae	0.15652173913	0.00217391304348
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MSBL1	0.00217391304348	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__DHVEG-1	0.0239130434783	0.0
k__Bacteria;p__AD3;c__ABS-6;o__;f__	0.0	0.0130434782609
k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__	0.0	0.000724637681159
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__	0.00217391304348	0.0123188405797
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__	0.0	0.000724637681159
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	0.0253623188406	0.0731884057971
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	0.00652173913043	0.00217391304348
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae	0.113768115942	0.126086956522
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__	0.00144927536232	0.0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__	0.0188405797101	0.0297101449275
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__	0.00217391304348	0.0036231884058
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae	0.00579710144928	0.00724637681159
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__	0.0	0.00144927536232
k__Bacteria;p__Acidobacteria;c__TM1;o__;f__	0.00289855072464	0.0036231884058
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24;f__	0.0	0.00507246376812
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100;f__	0.0	0.00144927536232
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__	0.00652173913043	0.00942028985507
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075	0.00144927536232	0.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__	0.000724637681159	0.00942028985507
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	0.000724637681159	0.00434782608696
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017	0.000724637681159	0.000724637681159
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	0.0	0.00217391304348
