	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_2568_9.txt	2568	9	121.75	153.607142857	141.545454545	102.571428571	125.2	79.1	177.434782609	139.526315789	124.894736842	153.230769231	124.555555556	51.3333333333	73.3	146.75	104.375	41.8571428571	30.25	78.6666666667
alpha_rarefaction_3847_0.txt	3847	0	113.0	155.176470588	129.333333333	115.428571429	145.0	77.375	174.5	172.894736842	128.25	194.214285714	131.076923077	71.1111111111	84.0	130.714285714	114.375	66.6666666667	24.0	89.0769230769
alpha_rarefaction_3847_1.txt	3847	1	110.583333333	174.2	136.545454545	114.428571429	113.235294118	68.1428571429	160.894736842	161.105263158	119.5	174.1875	122.090909091	91.5	75.0	133.0	129.0	74.1428571429	29.3333333333	94.2
alpha_rarefaction_3847_2.txt	3847	2	112.0	167.428571429	119.666666667	119.0	119.9375	80.0	159.454545455	180.230769231	133.882352941	150.647058824	129.055555556	53.6	78.75	127.235294118	109.0	47.4285714286	32.0	79.0
alpha_rarefaction_3847_3.txt	3847	3	129.428571429	181.230769231	128.3	104.090909091	107.461538462	83.1111111111	172.05	178.058823529	149.1875	196.555555556	132.55	93.4285714286	89.4285714286	139.0	117.5	37.0	44.5	87.875
alpha_rarefaction_3847_4.txt	3847	4	111.375	169.25	111.230769231	115.3	152.571428571	77.2727272727	152.476190476	176.333333333	145.25	141.882352941	126.0	77.0	77.2727272727	140.0	123.066666667	52.0	32.5	93.0
alpha_rarefaction_3847_5.txt	3847	5	111.6875	158.5	108.75	116.125	118.9375	83.1111111111	186.055555556	158.545454545	142.428571429	164.8	139.0	104.5	89.0	125.5	106.789473684	51.1111111111	30.0	145.142857143
alpha_rarefaction_3847_6.txt	3847	6	124.666666667	160.833333333	132.0	116.0	115.428571429	79.5	194.0	161.25	150.0625	158.105263158	123.5	68.6666666667	84.75	150.5	161.363636364	111.0	25.2	87.0769230769
alpha_rarefaction_3847_7.txt	3847	7	109.875	162.315789474	120.125	118.857142857	133.230769231	99.6	173.25	149.916666667	120.769230769	178.615384615	148.2	49.9090909091	63.9090909091	121.0	104.428571429	51.375	38.0	90.6666666667
alpha_rarefaction_3847_8.txt	3847	8	123.545454545	162.882352941	132.272727273	121.375	126.0	78.5	186.0	160.789473684	123.333333333	180.0	115.5625	48.2307692308	79.3333333333	127.55	102.0	52.75	33.1666666667	110.615384615
alpha_rarefaction_3847_9.txt	3847	9	113.583333333	157.55	118.0	100.5	146.769230769	75.5454545455	153.545454545	168.25	137.066666667	158.217391304	134.0	46.1428571429	79.5454545455	131.473684211	118.5	46.875	43.2	99.1428571429
alpha_rarefaction_5126_0.txt	5126	0	121.909090909	160.5	133.333333333	106.75	163.230769231	74.5	165.772727273	162.65	136.24	176.714285714	154.461538462	77.0	92.0	144.176470588	113.076923077	68.0	63.0	122.0
alpha_rarefaction_5126_1.txt	5126	1	156.857142857	182.0	146.0	108.545454545	145.0625	83.5454545455	183.176470588	169.25	171.090909091	169.625	186.0	87.4285714286	89.1111111111	174.076923077	97.0	63.0	44.1666666667	92.2307692308
alpha_rarefaction_5126_2.txt	5126	2	130.0	167.214285714	144.272727273	109.090909091	138.0	101.0	177.565217391	166.666666667	146.0	158.4	163.333333333	73.25	82.375	162.176470588	142.071428571	50.1428571429	71.5	123.666666667
alpha_rarefaction_5126_3.txt	5126	3	139.5	193.0	111.5	110.75	144.0625	73.0909090909	183.619047619	164.352941176	186.125	198.166666667	143.235294118	55.125	80.0	155.2	99.0588235294	131.0	42.3333333333	123.6
alpha_rarefaction_5126_4.txt	5126	4	148.0	176.071428571	121.75	105.214285714	152.866666667	121.5	161.5	161.545454545	132.333333333	175.0625	139.6	70.25	82.1	134.0	125.0	68.0	53.0	85.4
alpha_rarefaction_5126_5.txt	5126	5	123.230769231	170.043478261	122.058823529	113.333333333	145.4	81.0909090909	183.25	173.0	168.0	172.956521739	136.3125	60.75	109.2	148.5	133.6	90.3333333333	71.5	97.2
alpha_rarefaction_5126_6.txt	5126	6	127.111111111	169.5	161.25	108.111111111	116.047619048	107.666666667	173.3	158.0	132.75	218.4375	145.833333333	66.4285714286	85.5	136.0	107.588235294	54.1111111111	78.5	100.1
alpha_rarefaction_5126_7.txt	5126	7	166.0	174.352941176	139.3	100.625	133.368421053	81.1	163.0	162.5	163.666666667	181.333333333	152.833333333	52.5	91.5454545455	139.375	135.0	48.5	37.75	78.0
alpha_rarefaction_5126_8.txt	5126	8	126.75	172.153846154	127.0	107.428571429	149.153846154	81.6666666667	173.555555556	160.909090909	146.833333333	176.058823529	128.75	118.666666667	76.5	148.05	98.5	56.3333333333	26.25	86.0714285714
alpha_rarefaction_5126_9.txt	5126	9	133.0	174.4	145.25	109.5	138.333333333	71.6666666667	172.375	164.555555556	143.1875	186.0	153.1	51.3333333333	87.1666666667	139.0	105.142857143	51.6	26.6666666667	146.125
alpha_rarefaction_6405_0.txt	6405	0	124.5	180.5	155.8	119.333333333	170.928571429	85.0	177.483870968	157.714285714	134.8125	204.769230769	147.625	82.0	77.1111111111	153.0	112.4	65.5	49.2	118.4
alpha_rarefaction_6405_1.txt	6405	1	128.142857143	190.111111111	132.272727273	107.461538462	146.0625	77.875	157.052631579	166.2	157.0	213.928571429	149.066666667	122.2	103.75	172.352941176	123.882352941	62.125	45.5	109.0
alpha_rarefaction_6405_2.txt	6405	2	126.769230769	172.615384615	148.0	105.0	170.272727273	81.6666666667	199.4	165.636363636	158.461538462	204.0	153.066666667	70.1111111111	93.9090909091	144.894736842	113.125	67.0	41.0	92.8666666667
alpha_rarefaction_6405_3.txt	6405	3	126.0	180.4	141.714285714	132.428571429	142.0	78.5	210.75	159.0	157.461538462	194.2	147.666666667	83.6	113.2	142.894736842	160.272727273	62.3333333333	51.75	77.9090909091
alpha_rarefaction_6405_4.txt	6405	4	130.142857143	203.6	143.076923077	112.0	139.956521739	80.5	174.607142857	157.789473684	175.461538462	208.588235294	152.9375	73.6666666667	77.5	132.571428571	120.6	81.6666666667	34.8571428571	157.75
alpha_rarefaction_6405_5.txt	6405	5	127.333333333	179.272727273	126.75	114.545454545	128.954545455	81.3333333333	198.4	160.391304348	140.428571429	169.0	148.4	106.2	87.5	139.0	149.666666667	61.375	32.4285714286	108.0
alpha_rarefaction_6405_6.txt	6405	6	136.111111111	197.909090909	152.5	122.6	157.153846154	87.375	201.272727273	180.3125	176.0	203.769230769	153.909090909	95.875	84.1	188.0	144.090909091	61.75	46.2	107.909090909
alpha_rarefaction_6405_7.txt	6405	7	125.1	176.588235294	144.090909091	114.545454545	138.352941176	113.0	176.260869565	169.615384615	173.583333333	196.1875	195.857142857	58.3333333333	81.6666666667	147.894736842	133.5	68.0	44.3333333333	133.0
alpha_rarefaction_6405_8.txt	6405	8	142.142857143	175.4375	155.230769231	128.0	141.1	81.6666666667	186.230769231	158.0	174.769230769	193.0	156.1875	104.0	76.1428571429	143.75	125.0	66.6	40.4285714286	136.583333333
alpha_rarefaction_6405_9.txt	6405	9	149.666666667	190.0	148.272727273	104.8125	181.909090909	77.5	168.625	155.666666667	147.235294118	198.333333333	179.230769231	71.0909090909	92.2	155.045454545	120.476190476	54.75	49.0	121.090909091
alpha_rarefaction_7684_0.txt	7684	0	122.5	189.3	144.333333333	114.666666667	158.071428571	102.428571429	172.5	176.0	177.375	219.714285714	157.0	78.0	81.1428571429	146.666666667	128.625	59.1	49.0	103.4
alpha_rarefaction_7684_1.txt	7684	1	136.588235294	180.25	151.666666667	114.8	147.0625	105.5	185.0	175.6	139.461538462	210.9375	153.428571429	71.5	78.5	164.769230769	121.0	57.6666666667	35.0	122.545454545
alpha_rarefaction_7684_2.txt	7684	2	140.1	181.833333333	158.5	126.1	142.833333333	81.625	175.857142857	163.055555556	158.555555556	176.0	144.055555556	86.5	78.3125	177.571428571	118.4	69.0	47.125	101.666666667
alpha_rarefaction_7684_3.txt	7684	3	124.1	169.5	158.909090909	115.272727273	156.055555556	80.0909090909	178.636363636	169.75	168.714285714	189.230769231	227.142857143	69.2727272727	100.3	142.285714286	126.0	83.875	33.5	115.714285714
alpha_rarefaction_7684_4.txt	7684	4	137.833333333	192.3	158.428571429	113.583333333	176.0	85.6666666667	197.428571429	159.647058824	170.0	178.555555556	170.75	89.3333333333	76.5454545455	156.0	118.117647059	68.0	74.0	133.0
alpha_rarefaction_7684_5.txt	7684	5	128.714285714	171.461538462	134.0	123.0	167.588235294	91.5	171.0	167.0	152.071428571	222.117647059	177.625	85.6	86.75	158.0	146.769230769	51.875	36.875	116.0
alpha_rarefaction_7684_6.txt	7684	6	127.583333333	183.272727273	137.545454545	107.5	142.882352941	93.5	180.666666667	186.1	133.588235294	207.5	173.071428571	96.4615384615	94.4615384615	150.136363636	120.4	57.2727272727	57.2	151.909090909
alpha_rarefaction_7684_7.txt	7684	7	139.5	172.5625	125.833333333	108.583333333	147.1875	95.5	192.142857143	158.473684211	176.5	204.176470588	151.625	87.3333333333	110.5	146.0	129.083333333	90.75	40.0	112.5
alpha_rarefaction_7684_8.txt	7684	8	147.142857143	191.666666667	126.545454545	112.272727273	131.666666667	77.0	167.6	188.666666667	167.2	184.375	194.545454545	80.875	132.2	161.4	117.235294118	64.6	60.5	95.7142857143
alpha_rarefaction_7684_9.txt	7684	9	110.666666667	176.909090909	136.571428571	119.375	159.476190476	89.0	182.130434783	161.105263158	213.75	177.0	160.1875	88.3333333333	90.0	161.428571429	155.461538462	55.0	67.0	148.333333333
alpha_rarefaction_8963_0.txt	8963	0	152.111111111	179.111111111	140.0	124.333333333	153.176470588	86.8571428571	188.181818182	174.909090909	161.588235294	202.636363636	142.571428571	79.1	144.2	158.375	135.0	65.3333333333	66.0	110.272727273
alpha_rarefaction_8963_1.txt	8963	1	137.769230769	175.066666667	150.6	126.6	147.588235294	81.0	195.25	165.076923077	156.625	203.0625	161.882352941	93.3333333333	86.3333333333	157.545454545	124.105263158	80.75	62.4285714286	110.166666667
alpha_rarefaction_8963_2.txt	8963	2	158.0	178.230769231	140.0	110.0	152.0	82.8571428571	174.5	166.5	173.714285714	244.75	151.647058824	81.7142857143	87.1111111111	179.0	127.0	54.0	37.8571428571	114.909090909
alpha_rarefaction_8963_3.txt	8963	3	133.6	180.555555556	147.1	125.363636364	150.588235294	91.2727272727	188.714285714	166.055555556	180.625	200.058823529	161.555555556	77.0909090909	109.5	141.352941176	137.111111111	78.375	74.25	102.428571429
alpha_rarefaction_8963_4.txt	8963	4	147.0	173.066666667	136.571428571	116.25	158.0	81.4615384615	214.333333333	170.375	165.071428571	206.058823529	155.5	82.4615384615	86.6	155.217391304	130.9	62.1	36.8571428571	134.090909091
alpha_rarefaction_8963_5.txt	8963	5	140.125	188.75	153.666666667	128.5	189.6	100.0	207.0625	167.5	187.461538462	190.375	157.4	80.4285714286	104.0	163.0	139.076923077	70.3636363636	55.6666666667	102.714285714
alpha_rarefaction_8963_6.txt	8963	6	141.615384615	191.25	163.5	119.076923077	167.153846154	89.0909090909	176.5	201.5	196.5	229.8125	176.0625	75.0714285714	83.5714285714	148.4	160.666666667	59.5833333333	45.6	120.8
alpha_rarefaction_8963_7.txt	8963	7	127.75	176.0	135.214285714	118.0	164.333333333	91.6	191.434782609	181.571428571	202.75	197.0	157.625	61.5714285714	100.0	165.0625	127.647058824	60.1111111111	61.2	139.111111111
alpha_rarefaction_8963_8.txt	8963	8	125.0	174.555555556	147.25	120.142857143	173.352941176	82.625	185.25	164.125	171.0	192.545454545	173.058823529	79.0	100.0	169.75	118.4	59.8	47.1666666667	109.882352941
alpha_rarefaction_8963_9.txt	8963	9	140.153846154	182.615384615	138.909090909	121.1	176.3125	84.0	193.166666667	173.230769231	167.066666667	191.619047619	163.0	116.0	99.0	141.0	158.0	53.0	48.5	186.3
alpha_rarefaction_10242_0.txt	10242	0	143.5	177.461538462	155.071428571	113.75	163.0625	89.5714285714	185.4375	176.714285714	188.571428571	192.142857143	164.136363636	93.2727272727	92.1428571429	164.8	179.583333333	65.5454545455	50.125	141.0
alpha_rarefaction_10242_1.txt	10242	1	141.111111111	190.0	148.090909091	113.461538462	157.0	87.3333333333	200.2	183.0	216.1	200.166666667	176.428571429	79.1	97.125	155.3125	141.076923077	66.125	61.3333333333	130.0
alpha_rarefaction_10242_2.txt	10242	2	148.0	182.833333333	151.428571429	114.583333333	162.526315789	92.0	191.9375	166.5	161.2	213.0	169.25	98.5	111.428571429	158.333333333	139.071428571	78.2	44.1428571429	140.0
alpha_rarefaction_10242_3.txt	10242	3	132.583333333	202.083333333	180.75	118.5	176.461538462	85.875	197.0	188.111111111	161.0	221.625	163.235294118	81.0	102.75	156.652173913	137.076923077	75.4285714286	60.3333333333	142.461538462
alpha_rarefaction_10242_4.txt	10242	4	144.090909091	172.0	171.0	123.111111111	146.3	92.6666666667	191.75	163.4	210.375	205.058823529	170.105263158	93.5	88.3333333333	157.9375	120.571428571	74.6666666667	36.0	121.352941176
alpha_rarefaction_10242_5.txt	10242	5	145.1	188.272727273	161.5	112.583333333	172.0	81.0	191.75	175.333333333	163.25	211.476190476	180.0625	89.6	93.1428571429	164.066666667	113.769230769	67.5454545455	63.0	118.833333333
alpha_rarefaction_10242_6.txt	10242	6	139.0	184.125	132.230769231	129.428571429	152.166666667	82.0	206.588235294	173.0	201.583333333	211.0	165.2	89.0	96.3333333333	150.04	147.833333333	75.8571428571	46.0	122.176470588
