	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_10_0.txt	10	0	0.6	0.4	0.8	0.2	0.3	0.8	0.4	0.2	0.3	0.8	0.6	0.6	0.7	0.5	1.0	0.9	0.9	1.0
alpha_rarefaction_10_1.txt	10	1	0.3	0.4	0.4	0.5	0.7	0.6	0.4	0.0	0.9	0.8	0.7	0.8	0.6	0.3	0.9	0.9	1.0	0.9
alpha_rarefaction_10_2.txt	10	2	0.6	0.0	0.4	0.6	0.4	0.5	0.7	0.0	0.6	0.3	0.6	1.0	0.9	0.7	0.8	0.8	0.9	0.8
alpha_rarefaction_10_3.txt	10	3	0.5	0.0	0.6	0.2	0.7	0.6	0.5	0.2	0.7	0.4	0.6	1.0	0.9	0.3	0.8	0.7	0.8	0.8
alpha_rarefaction_10_4.txt	10	4	0.5	0.0	0.5	0.7	0.7	0.8	0.4	0.4	0.5	0.6	0.7	0.9	0.7	0.6	0.9	0.8	0.9	1.0
alpha_rarefaction_10_5.txt	10	5	0.8	0.7	0.6	0.7	0.6	0.6	0.7	0.4	0.7	0.8	0.5	1.0	0.3	0.7	0.7	1.0	1.0	0.9
alpha_rarefaction_10_6.txt	10	6	0.7	0.8	0.8	0.8	0.5	0.9	0.5	0.3	0.4	0.4	0.6	0.8	0.8	0.7	0.8	0.9	0.9	0.8
alpha_rarefaction_10_7.txt	10	7	0.4	0.2	0.3	0.0	0.7	0.6	0.2	0.4	0.4	0.5	0.7	0.9	0.8	0.7	0.8	0.9	0.9	0.6
alpha_rarefaction_10_8.txt	10	8	0.7	0.4	0.2	0.6	0.4	0.8	0.6	0.5	0.6	0.4	0.8	0.7	0.8	0.3	0.9	0.7	1.0	1.0
alpha_rarefaction_10_9.txt	10	9	0.5	0.5	0.3	0.9	0.4	0.8	0.3	0.4	0.5	0.4	0.5	0.9	0.8	0.6	0.9	0.6	0.9	0.6
alpha_rarefaction_1289_0.txt	1289	0	0.983708301009	0.983708301009	0.980605120248	0.986811481769	0.979829325058	0.986811481769	0.981380915438	0.972071373157	0.981380915438	0.973622963538	0.981380915438	0.988363072149	0.986035686579	0.979829325058	0.983708301009	0.989914662529	0.99612102405	0.992242048099
alpha_rarefaction_1289_1.txt	1289	1	0.979053529868	0.968192397207	0.980605120248	0.988363072149	0.978277734678	0.990690457719	0.969743987587	0.975174553918	0.973622963538	0.974398758728	0.982932505818	0.990690457719	0.983708301009	0.974398758728	0.980605120248	0.993017843289	0.99844840962	0.989138867339
alpha_rarefaction_1289_2.txt	1289	2	0.985259891389	0.971295577967	0.981380915438	0.983708301009	0.978277734678	0.986811481769	0.969743987587	0.972847168348	0.981380915438	0.975174553918	0.979829325058	0.993793638479	0.988363072149	0.971295577967	0.980605120248	0.988363072149	0.993793638479	0.990690457719
alpha_rarefaction_1289_3.txt	1289	3	0.986035686579	0.975174553918	0.981380915438	0.985259891389	0.989138867339	0.989138867339	0.972847168348	0.974398758728	0.980605120248	0.975950349108	0.979053529868	0.99612102405	0.986035686579	0.975950349108	0.980605120248	0.991466252909	0.993017843289	0.985259891389
alpha_rarefaction_1289_4.txt	1289	4	0.989914662529	0.972071373157	0.981380915438	0.984484096199	0.984484096199	0.983708301009	0.975950349108	0.975174553918	0.972847168348	0.968968192397	0.981380915438	0.993017843289	0.988363072149	0.982156710628	0.982932505818	0.986035686579	0.99456943367	0.988363072149
alpha_rarefaction_1289_5.txt	1289	5	0.989914662529	0.975950349108	0.985259891389	0.984484096199	0.979053529868	0.983708301009	0.972847168348	0.972071373157	0.981380915438	0.975950349108	0.976726144298	0.993017843289	0.982932505818	0.976726144298	0.979829325058	0.986811481769	0.99612102405	0.993017843289
alpha_rarefaction_1289_6.txt	1289	6	0.981380915438	0.969743987587	0.983708301009	0.984484096199	0.978277734678	0.989138867339	0.974398758728	0.980605120248	0.980605120248	0.976726144298	0.982932505818	0.992242048099	0.982932505818	0.977501939488	0.985259891389	0.989138867339	0.992242048099	0.986811481769
alpha_rarefaction_1289_7.txt	1289	7	0.975950349108	0.975950349108	0.982932505818	0.986811481769	0.985259891389	0.983708301009	0.978277734678	0.972071373157	0.979053529868	0.979053529868	0.980605120248	0.990690457719	0.986035686579	0.975950349108	0.982156710628	0.993793638479	0.991466252909	0.987587276959
alpha_rarefaction_1289_8.txt	1289	8	0.986035686579	0.982932505818	0.981380915438	0.983708301009	0.984484096199	0.986035686579	0.972071373157	0.972071373157	0.979829325058	0.974398758728	0.981380915438	0.992242048099	0.986035686579	0.975174553918	0.987587276959	0.993017843289	0.99456943367	0.992242048099
alpha_rarefaction_1289_9.txt	1289	9	0.986811481769	0.979053529868	0.982156710628	0.986035686579	0.984484096199	0.991466252909	0.966640806827	0.975950349108	0.978277734678	0.968192397207	0.974398758728	0.986811481769	0.983708301009	0.973622963538	0.981380915438	0.99689681924	0.993017843289	0.990690457719
alpha_rarefaction_2568_0.txt	2568	0	0.992211838006	0.991822429907	0.989875389408	0.992990654206	0.991043613707	0.994158878505	0.989096573209	0.986760124611	0.988707165109	0.986760124611	0.990654205607	0.994158878505	0.995716510903	0.989096573209	0.993380062305	0.993380062305	0.998052959502	0.993380062305
alpha_rarefaction_2568_1.txt	2568	1	0.992601246106	0.98753894081	0.991822429907	0.991043613707	0.989485981308	0.994548286604	0.988707165109	0.990264797508	0.989875389408	0.984034267913	0.990264797508	0.992990654206	0.996105919003	0.989485981308	0.98714953271	0.994158878505	0.996495327103	0.990264797508
alpha_rarefaction_2568_2.txt	2568	2	0.994548286604	0.985591900312	0.990654205607	0.994158878505	0.992601246106	0.994937694704	0.98753894081	0.990264797508	0.98753894081	0.98792834891	0.98792834891	0.994937694704	0.994158878505	0.98753894081	0.990654205607	0.994548286604	0.996105919003	0.991433021807
alpha_rarefaction_2568_3.txt	2568	3	0.991043613707	0.990654205607	0.990654205607	0.992601246106	0.985981308411	0.991043613707	0.98714953271	0.990264797508	0.989485981308	0.990264797508	0.988707165109	0.993769470405	0.993380062305	0.98714953271	0.988317757009	0.996495327103	0.996495327103	0.990654205607
