index,Unassigned;__;__,k__Archaea;__;__,k__Archaea;p__Crenarchaeota;c__MBGA,k__Archaea;p__Crenarchaeota;c__MBGB,k__Archaea;p__Crenarchaeota;c__MCG,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,k__Archaea;p__Euryarchaeota;__,k__Archaea;p__Euryarchaeota;c__Halobacteria,k__Archaea;p__Euryarchaeota;c__Methanobacteria,k__Archaea;p__Euryarchaeota;c__Methanomicrobia,k__Archaea;p__Euryarchaeota;c__Thermoplasmata,k__Archaea;p__[Parvarchaeota];c__[Parvarchaea],k__Bacteria;__;__,k__Bacteria;p__AD3;c__ABS-6,k__Bacteria;p__AD3;c__JG37-AG-4,k__Bacteria;p__Acidobacteria;__,k__Bacteria;p__Acidobacteria;c__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,k__Bacteria;p__Acidobacteria;c__BPC102,k__Bacteria;p__Acidobacteria;c__DA052,k__Bacteria;p__Acidobacteria;c__Holophagae,k__Bacteria;p__Acidobacteria;c__Solibacteres,k__Bacteria;p__Acidobacteria;c__Sva0725,k__Bacteria;p__Acidobacteria;c__TM1,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],k__Bacteria;p__Acidobacteria;c__iii1-8,k__Bacteria;p__Actinobacteria;__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__MB-A2-108,k__Bacteria;p__Actinobacteria;c__OPB41,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Bacteroidetes;c__,k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,k__Bacteria;p__Bacteroidetes;c__[Rhodothermi],k__Bacteria;p__Bacteroidetes;c__[Saprospirae],k__Bacteria;p__Chlamydiae;c__Chlamydiia,k__Bacteria;p__Chlorobi;__,k__Bacteria;p__Chlorobi;c__,k__Bacteria;p__Chlorobi;c__BSV26,k__Bacteria;p__Chlorobi;c__OPB56,k__Bacteria;p__Chloroflexi;__,k__Bacteria;p__Chloroflexi;c__Anaerolineae,k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Chloroflexi;c__Chloroflexi,k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Chloroflexi;c__S085,k__Bacteria;p__Chloroflexi;c__TK10,k__Bacteria;p__Chloroflexi;c__TK17,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,k__Bacteria;p__Cyanobacteria;__,k__Bacteria;p__Cyanobacteria;c__4C0d-2,k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia,k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__GAL15;c__,k__Bacteria;p__GOUTA4;c__,k__Bacteria;p__Gemmatimonadetes;__,k__Bacteria;p__Gemmatimonadetes;c__Gemm-1,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__MVS-104;c__,k__Bacteria;p__NC10;c__12-24,k__Bacteria;p__NKB19;c__,k__Bacteria;p__Nitrospirae;c__Nitrospira,k__Bacteria;p__OD1;c__SM2F11,k__Bacteria;p__OP1;c__KB1,k__Bacteria;p__OP8;c__OP8_1,k__Bacteria;p__OP9;c__JS1,k__Bacteria;p__PAUC34f;c__,k__Bacteria;p__Planctomycetes;__,k__Bacteria;p__Planctomycetes;c__BD7-11,k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Planctomycetes;c__Pla4,k__Bacteria;p__Planctomycetes;c__Planctomycetia,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__SBR1093;__,k__Bacteria;p__SBR1093;c__,k__Bacteria;p__Spirochaetes;c__Spirochaetes,k__Bacteria;p__Spirochaetes;c__[Brachyspirae],k__Bacteria;p__TM6;__,k__Bacteria;p__TM6;c__SJA-4,k__Bacteria;p__TM7;c__SC3,k__Bacteria;p__Verrucomicrobia;c__Opitutae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae],k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae],k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],k__Bacteria;p__WPS-2;c__,k__Bacteria;p__WS2;c__SHA-109,k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__[Thermi];c__Deinococci,group
soilS1t1sub,7.0,0.0,2.0,1.0,0.0,10.0,0.0,18.0,0.0,0.0,0.0,0.0,964.0,25.0,4.0,2.0,1.0,26.0,95.0,169.0,0.0,62.0,0.0,37.0,0.0,4.0,34.0,8.0,35.0,3.0,78.0,2.0,0.0,0.0,42.0,2.0,0.0,6.0,0.0,3.0,0.0,0.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,1.0,8.0,2.0,1.0,49.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,16.0,1.0,0.0,0.0,0.0,14.0,21.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,22.0,203.0,315.0,116.0,131.0,31.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,35.0,193.0,1.0,0.0,1.0,0.0,soilS1
soilS1t2sub,2.0,0.0,4.0,1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1012.0,27.0,5.0,2.0,1.0,39.0,90.0,193.0,0.0,112.0,0.0,22.0,0.0,7.0,34.0,14.0,26.0,6.0,71.0,3.0,0.0,0.0,27.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,3.0,4.0,1.0,10.0,3.0,0.0,31.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,34.0,17.0,0.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,22.0,157.0,219.0,64.0,112.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,34.0,282.0,0.0,1.0,8.0,0.0,soilS1
soilS2t1sub,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,21.0,5.0,1.0,0.0,14.0,105.0,146.0,4.0,25.0,1.0,21.0,0.0,2.0,37.0,19.0,23.0,1.0,74.0,3.0,0.0,0.0,44.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,3.0,3.0,1.0,8.0,6.0,0.0,28.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,11.0,1.0,0.0,0.0,1.0,29.0,20.0,0.0,11.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,251.0,157.0,136.0,146.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,198.0,0.0,1.0,5.0,0.0,soilS2
soilS2t2sub,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,8.0,1.0,1.0,0.0,20.0,86.0,171.0,0.0,29.0,0.0,21.0,1.0,0.0,54.0,14.0,38.0,1.0,118.0,2.0,0.0,1.0,39.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,17.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,3.0,0.0,12.0,6.0,0.0,29.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0,1.0,20.0,4.0,0.0,2.0,1.0,26.0,29.0,0.0,1.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,25.0,358.0,212.0,154.0,231.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,40.0,196.0,0.0,0.0,1.0,0.0,soilS2
soilS3t2sub,97.0,5.0,0.0,66.0,2.0,0.0,1.0,361.0,4.0,1.0,1.0,2.0,894.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,4.0,1.0,16.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,33.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,144.0,26.0,4.0,83.0,313.0,12.0,0.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,soilS3
soilS3t1sub,240.0,11.0,0.0,78.0,0.0,11.0,5.0,635.0,21.0,0.0,72.0,0.0,798.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,53.0,0.0,0.0,1.0,38.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,14.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,125.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,175.0,29.0,1.0,83.0,38.0,6.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,soilS3
