taxon	soils1_1	soils2_1	soils3_1	soils4_1
g__Amycolatopsis	1	5	0	4
g__Pseudonocardia	4	0	0	0
g__Saccharomonospora	0	1	0	0
g__Saccharopolyspora	0	1	0	0
g__Sciscionella	0	0	0	1
f__Sporichthyaceae_unclassified	1	0	0	11
g__Sporichthya	1	0	0	0
f__Streptomycetaceae_unclassified	0	1	0	1
g__Streptomyces	9	9	0	12
f__Streptosporangiaceae_unclassified	0	2	0	1
g__Herbidospora	0	0	0	1
g__Sphaerisporangium	1	1	0	0
f__Thermomonosporaceae_unclassified	31	29	0	4
g__Actinoallomurus	15	3	0	2
g__Actinomadura	3	2	0	3
o__Actinomycetales_unclassified	191	150	4	119
o__Micrococcales_unclassified	0	6	0	0
f__At425_EubF1_unclassified	0	0	7	0
o__0319-7L14_unclassified	18	53	0	6
f__Nitriliruptoraceae_unclassified	0	0	4	0
c__OPB41_unclassified	0	1	2	4
c__Thermoleophilia_unclassified	8	3	0	6
f__AK1AB1_02E_unclassified	1	0	0	0
f__Gaiellaceae_unclassified	191	279	2	243
g__Gaiella	3	3	0	2
f__Conexibacteraceae_unclassified	55	32	0	30
g__Conexibacter	5	0	2	6
f__Patulibacteraceae_unclassified	2	1	0	6
f__Solirubrobacteraceae_unclassified	11	4	0	6
g__Solirubrobacter	5	4	0	2
o__Solirubrobacterales_unclassified	67	56	3	19
p__Actinobacteria_unclassified	74	69	6	61
p__AncK6_unclassified	0	0	0	2
c__0319-6E2_unclassified	5	2	0	2
f__Chthonomonadaceae_unclassified	4	4	0	4
o__SJA-22_unclassified	10	10	0	4
c__SHA-37_unclassified	0	0	0	1
o__GAB-B06_unclassified	0	1	0	0
o__RB046_unclassified	0	1	0	1
f__[Fimbriimonadaceae]_unclassified	0	1	0	0
g__Fimbriimonas	3	9	1	14
c__NPL-UPA2_unclassified	1	0	4	0
c__PRR-11_unclassified	0	0	0	2
c__At12OctB3_unclassified	0	0	0	1
f__BA008_unclassified	0	0	0	1
f__Marinilabiaceae_unclassified	0	0	1	0
g__Paludibacter	0	0	0	9
f__SB-1_unclassified	0	0	7	1
o__Bacteroidales_unclassified	0	0	2	12
f__Cytophagaceae_unclassified	1	2	0	2
g__Adhaeribacter	2	2	0	2
g__Cytophaga	0	0	0	2
g__Emticicia	2	2	1	3
g__Larkinella	1	0	0	0
g__Sporocytophaga	1	0	0	1
f__Flammeovirgaceae_unclassified	0	0	3	2
g__Fulvivirga	0	0	2	0
o__Cytophagales_unclassified	2	5	39	15
f__Cryomorphaceae_unclassified	0	1	0	0
f__Flavobacteriaceae_unclassified	0	0	1	1
g__Flavobacterium	1	2	0	1
g__Gaetbulibacter	0	0	1	0
g__Gramella	0	0	3	1
g__Muricauda	0	0	1	0
g__Cloacibacterium	0	0	1	0
f__Sphingobacteriaceae_unclassified	0	0	0	3
g__Mucilaginibacter	2	1	0	0
g__Pedobacter	1	0	0	0
g__Solitalea	1	0	0	0
g__Sphingobacterium	0	0	0	1
c__VC2_1_Bac22_unclassified	0	0	0	1
f__Rhodothermaceae_unclassified	0	0	13	4
g__Salinibacter	0	0	8	1
g__Salisaeta	3	1	135	0
f__[Balneolaceae]_unclassified	1	0	21	0
g__KSA1	6	1	383	3
f__Chitinophagaceae_unclassified	120	99	1	254
g__Chitinophaga	0	6	0	1
g__Flavisolibacter	5	5	0	7
g__Niabella	1	0	0	0
g__Niastella	6	3	0	0
g__Sediminibacterium	1	1	0	0
g__Trachelomonas	1	0	0	0
f__Saprospiraceae_unclassified	3	0	8	0
o__[Saprospirales]_unclassified	1	0	0	1
p__Bacteroidetes_unclassified	54	40	382	111
f__BA059_unclassified	0	0	3	0
g__LCP-26	0	0	3	0
f__Parachlamydiaceae_unclassified	1	0	1	7
g__Candidatus_Protochlamydia	1	0	0	0
g__Candidatus_Rhabdochlamydia	0	2	0	2
o__Chlamydiales_unclassified	8	4	1	14
o__A89_unclassified	3	5	0	0
o__BSN164_unclassified	0	0	0	1
o__C20_unclassified	0	0	0	8
o__PK329_unclassified	0	2	0	14
o__VC38_unclassified	0	0	0	4
f__Ignavibacteriaceae_unclassified	0	0	0	10
f__lheB3-7_unclassified	0	0	0	1
o__Ignavibacteriales_unclassified	0	0	3	11
c__OPB56_unclassified	0	1	3	4
c__SJA-28_unclassified	0	2	0	2
p__Chlorobi_unclassified	1	0	1	2
c__Anaerolineae_unclassified	11	33	80	56
f__S47_unclassified	1	10	0	1
o__A31_unclassified	3	12	1	4
f__Anaerolinaceae_unclassified	0	1	7	11
g__Anaerolinea	1	13	1	24
g__C1_B004	0	0	1	0
g__Longilinea	0	1	0	0
g__T78	1	0	12	0
o__CFB-26_unclassified	2	15	32	4
f__Caldilineaceae_unclassified	1	1	2	0
g__Caldilinea	0	1	0	0
o__DRC31_unclassified	0	0	7	0
o__GCA004_unclassified	4	6	182	45
o__H39_unclassified	2	5	0	2
o__MSB-1E9_unclassified	0	0	2	0
o__OPB11_unclassified	2	0	74	0
o__S0208_unclassified	1	0	0	4
o__SB-34_unclassified	1	0	9	0
f__A4b_unclassified	10	2	0	18
f__SHA-31_unclassified	0	0	14	3
f__SJA-101_unclassified	0	0	11	4
f__oc28_unclassified	8	36	0	4
o__SBR1031_unclassified	0	0	1	2
o__SHA-20_unclassified	0	0	3	0
o__SJA-15_unclassified	0	0	0	15
o__WCHB1-50_unclassified	6	3	0	1
o__envOPS12_unclassified	2	3	0	12
o__pLW-97_unclassified	0	4	0	0
c__C0119_unclassified	10	9	0	1
c__Chloroflexi_unclassified	1	1	0	0
f__[Kouleothrixaceae]_unclassified	25	18	0	7
o__[Roseiflexales]_unclassified	1	1	0	0
c__Dehalococcoidetes_unclassified	0	0	1	0
f__Dehalococcoidaceae_unclassified	0	0	1	0
c__Ellin6529_unclassified	11	19	1	82
c__Gitt-GS-136_unclassified	6	2	0	6
c__Ktedonobacteria_unclassified	80	62	0	11
o__B12-WMSP1_unclassified	14	2	0	1
o__Elev-1554_unclassified	0	1	0	0
o__JG30-KF-AS9_unclassified	10	21	0	12
f__Ktedonobacteraceae_unclassified	8	7	0	2
g__FFCH10602	32	73	0	14
g__Ktedonobacter	1	1	0	0
f__Thermogemmatisporaceae_unclassified	253	129	0	10
c__P2-11E_unclassified	16	37	0	1
c__S085_unclassified	9	10	1	13
c__SAR202_unclassified	0	1	0	9
f__5B-12_unclassified	17	13	0	6
f__Dolo_23_unclassified	3	12	0	2
f__FFCH4570_unclassified	34	16	0	0
o__B07_WMSP1_unclassified	120	63	0	13
c__TK17_unclassified	0	1	0	0
o__mle1-48_unclassified	0	0	1	0
c__Thermomicrobia_unclassified	0	0	0	1
o__AKYG1722_unclassified	1	0	1	2
o__Ellin6537_unclassified	1	0	0	0
o__JG30-KF-CM45_unclassified	0	1	0	1
o__Sphaerobacterales_unclassified	0	0	1	1
p__Chloroflexi_unclassified	19	39	13	15
o__MLE1-12_unclassified	4	19	0	26
o__SM1D11_unclassified	1	4	0	0
o__YS2_unclassified	0	1	0	1
c__ML635J-21_unclassified	2	1	0	3
f__Nostocaceae_unclassified	0	1	0	3
c__Oscillatoriophycideae_unclassified	0	0	1	0
f__Phormidiaceae_unclassified	0	1	0	2
f__Pseudanabaenaceae_unclassified	0	0	1	0
g__Halomicronema	0	0	1	0
p__Cyanobacteria_unclassified	1	1	5	4
f__Deferribacteraceae_unclassified	0	0	1	0
g__Deferribacter	1	0	20	0
c__Elusimicrobia_unclassified	1	1	0	1
o__Elusimicrobiales_unclassified	2	10	0	6
o__FAC88_unclassified	31	9	0	21
o__IIb_unclassified	13	8	0	8
o__MVP-88_unclassified	1	4	0	2
c__Endomicrobia_unclassified	0	2	0	1
p__Elusimicrobia_unclassified	0	1	0	0
p__FBP_unclassified	1	0	0	0
p__FCPU426_unclassified	0	0	1	2
o__258ds10_unclassified	0	1	1	0
f__TSCOR003-O20_unclassified	0	0	5	5
c__Bacilli_unclassified	2	0	6	1
g__Alicyclobacillus	6	6	14	7
f__Bacillaceae_unclassified	7	6	7	3
g__Bacillus	21	14	4	8
g__Geobacillus	1	0	0	0
f__Paenibacillaceae_unclassified	0	3	1	0
g__Ammoniphilus	2	3	13	3
g__Aneurinibacillus	0	2	0	0
g__Brevibacillus	1	0	0	0
g__Cohnella	1	1	0	0
g__Paenibacillus	7	5	2	3
f__Planococcaceae_unclassified	1	4	0	0
g__Lysinibacillus	1	0	0	0
g__Pullulanibacillus	0	0	1	2
f__Thermoactinomycetaceae_unclassified	1	3	1	1
g__Planifilum	2	1	1	1
g__Shimazuella	1	0	0	0
o__Bacillales_unclassified	23	33	53	22
f__Haloplasmataceae_unclassified	0	0	16	0
g__Haloplasma	0	0	1	0
g__Turicibacter	3	0	0	0
c__Clostridia_unclassified	2	0	12	2
g__Caldicoprobacter	1	0	0	0
f__Christensenellaceae_unclassified	0	0	2	1
f__Clostridiaceae_unclassified	1	0	4	2
g__Caloramator	2	1	1	0
g__Clostridiisalibacter	0	0	5	0
g__Clostridium	0	12	4	5
g__SMB53	1	0	0	0
f__EtOH8_unclassified	0	0	2	0
f__Lachnospiraceae_unclassified	1	1	0	2
g__Desulfitobacter	0	0	3	0
g__Desulfosporosinus	0	0	0	1
g__Desulfotomaculum	0	0	1	1
g__Desulfotomaculum_Desulfovirgula	0	0	0	1
g__Sporotomaculum	0	0	2	0
g__WCHB1-84	1	0	0	0
f__Peptostreptococcaceae_unclassified	1	0	0	0
g__Clostridium	0	0	1	0
g__[Clostridium]	0	1	0	0
f__Ruminococcaceae_unclassified	1	4	10	5
g__Clostridium	0	4	7	2
g__Sporobacter	0	0	0	2
g__Symbiobacterium	0	0	1	0
f__Veillonellaceae_unclassified	0	1	0	2
g__BSV43	0	1	0	0
g__Sporomusa	0	0	1	0
o__Clostridiales_unclassified	6	3	17	10
f__Halanaerobiaceae_unclassified	0	0	36	0
g__Halanaerobium	0	0	1	0
g__Halocella	0	0	1	0
f__Halobacteroidaceae_unclassified	0	0	1	0
o__Halanaerobiales_unclassified	0	0	2	0
f__Anaerobrancaceae_unclassified	1	0	0	0
o__OPB54_unclassified	1	0	3	16
p__Firmicutes_unclassified	8	2	25	5
p__GAL15_unclassified	5	3	0	0
c__GN07_unclassified	0	0	0	1
c__5bav_B12_unclassified	0	0	0	2
c__GN15_unclassified	0	0	3	0
c__Gemm-1_unclassified	118	263	1	85
c__Gemm-2_unclassified	4	1	30	9
c__Gemm-3_unclassified	8	0	0	6
c__Gemm-4_unclassified	19	3	763	4
c__Gemm-5_unclassified	3	5	14	41
c__Gemmatimonadetes_unclassified	56	59	0	41
o__C114_unclassified	0	0	0	1
o__Ellin5290_unclassified	23	22	0	26
f__Ellin5301_unclassified	0	3	0	0
g__Gemmatimonas	1	0	0	1
o__Gemmatimonadales_unclassified	1	0	0	1
o__KD8-87_unclassified	5	2	0	4
o__N1423WL_unclassified	32	24	1	5
c__JL-ETNP-Z39_unclassified	0	0	2	0
p__Gemmatimonadetes_unclassified	1	17	6	3
o__JH-WHS47_unclassified	0	72	0	10
c__TSBW08_unclassified	1	0	1	0
p__NKB19_unclassified	0	0	1	0
f__0319-6A21_unclassified	147	176	0	20
g__4-29	4	30	0	7
f__Nitrospiraceae_unclassified	1	2	0	2
g__JG37-AG-70	3	6	0	0
g__Nitrospira	52	19	1	5
f__[Thermodesulfovibrionaceae]_unclassified	0	6	0	3
g__GOUTA19	3	10	2	32
g__HB118	0	0	0	1
g__LCP-6	0	6	0	1
c__ABY1_unclassified	0	2	1	1
c__Mb-NB09_unclassified	0	0	3	2
c__SM2F11_unclassified	2	2	1	2
c__ZB2_unclassified	1	4	1	6
c__KB1_unclassified	14	1	643	0
o__[Acetothermales]_unclassified	3	0	31	1
c__OP11-3_unclassified	0	1	4	0
c__BD4-9_unclassified	0	0	1	1
