taxonomy	S1_S1	S2_S3	S3_S5	S4_S7
g__Actinopolymorpha_unclassified	1	1	0	0
g__Aeromicrobium_unclassified	1	1	0	0
g__Nocardioides_unclassified	3	0	0	1
f__Nocardiopsaceae_unclassified	1	0	0	0
s__pachnodae	0	1	0	0
f__Pseudonocardiaceae_unclassified	2	1	1	4
g__Amycolatopsis_unclassified	2	5	0	5
g__Pseudonocardia_unclassified	4	0	0	0
g__Saccharomonospora_unclassified	0	1	0	0
s__hirsuta	0	1	0	0
f__Sporichthyaceae_unclassified	1	0	0	11
g__Sporichthya_unclassified	1	0	0	0
f__Streptomycetaceae_unclassified	2	1	0	1
g__Streptomyces_unclassified	8	9	0	12
f__Streptosporangiaceae_unclassified	0	2	0	2
g__Sphaerisporangium_unclassified	1	1	0	0
f__Thermomonosporaceae_unclassified	37	23	0	4
s__iriomotensis	9	6	0	2
g__Actinomadura_unclassified	2	2	0	2
o__Actinomycetales_unclassified	176	145	4	109
o__Micrococcales_unclassified	0	5	0	0
f__At425_EubF1_unclassified	0	0	6	0
o__0319-7L14_unclassified	18	49	0	6
f__Nitriliruptoraceae_unclassified	0	0	3	0
c__OPB41_unclassified	0	1	2	3
c__Thermoleophilia_unclassified	5	6	1	5
f__AK1AB1_02E_unclassified	1	0	0	0
f__Gaiellaceae_unclassified	184	266	2	220
s__occulta	3	4	0	2
f__Conexibacteraceae_unclassified	47	31	0	32
g__Conexibacter_unclassified	5	1	2	4
f__Patulibacteraceae_unclassified	2	1	0	6
f__Solirubrobacteraceae_unclassified	11	4	0	6
g__Solirubrobacter_unclassified	4	4	0	1
o__Solirubrobacterales_unclassified	69	52	2	16
p__Actinobacteria_unclassified	59	58	9	60
p__AncK6_unclassified	0	0	0	2
c__0319-6E2_unclassified	4	3	0	2
f__Chthonomonadaceae_unclassified	4	4	0	5
o__SJA-22_unclassified	8	11	0	4
c__SHA-37_unclassified	0	0	0	1
o__GAB-B06_unclassified	0	1	0	0
o__RB046_unclassified	0	1	0	1
g__Fimbriimonas_unclassified	3	9	1	14
p__Armatimonadetes_unclassified	1	0	0	0
c__NPL-UPA2_unclassified	1	0	3	0
c__PRR-11_unclassified	0	0	0	3
c__At12OctB3_unclassified	0	0	0	1
f__BA008_unclassified	0	0	0	1
f__Marinilabiaceae_unclassified	0	0	1	0
g__Paludibacter_unclassified	0	0	0	9
f__SB-1_unclassified	0	0	7	0
o__Bacteroidales_unclassified	0	0	0	10
f__Cytophagaceae_unclassified	3	2	0	2
g__Adhaeribacter_unclassified	2	2	0	2
g__Cytophaga_unclassified	0	0	0	2
g__Emticicia_unclassified	2	2	1	3
g__Larkinella_unclassified	1	0	0	0
g__Sporocytophaga_unclassified	1	0	0	1
f__Flammeovirgaceae_unclassified	0	0	3	2
g__Fulvivirga_unclassified	0	0	2	0
o__Cytophagales_unclassified	2	4	36	17
f__Cryomorphaceae_unclassified	0	1	0	0
f__Flavobacteriaceae_unclassified	0	0	1	1
g__Flavobacterium_unclassified	1	2	0	1
s__marinus	0	0	1	0
g__Gramella_unclassified	0	0	3	1
g__Muricauda_unclassified	0	0	1	0
g__Cloacibacterium_unclassified	0	0	1	0
f__Sphingobacteriaceae_unclassified	1	0	0	3
g__Mucilaginibacter_unclassified	1	1	0	0
g__Pedobacter_unclassified	1	0	0	0
s__canadensis	1	0	0	0
s__multivorum	0	0	0	1
c__VC2_1_Bac22_unclassified	0	0	0	1
f__Rhodothermaceae_unclassified	0	0	10	4
g__Salinibacter_unclassified	0	0	8	1
g__Salisaeta_unclassified	3	1	138	0
f__[Balneolaceae]_unclassified	1	0	29	0
g__KSA1_unclassified	6	1	376	3
f__Chitinophagaceae_unclassified	116	98	1	250
g__Chitinophaga_unclassified	0	6	0	1
g__Flavisolibacter_unclassified	5	3	0	6
g__Niabella_unclassified	1	0	0	0
g__Niastella_unclassified	6	3	0	0
g__Sediminibacterium_unclassified	1	1	0	0
s__volvocinopsis	1	0	0	0
f__Saprospiraceae_unclassified	3	0	7	0
o__[Saprospirales]_unclassified	0	0	0	1
p__Bacteroidetes_unclassified	53	40	326	109
f__BA059_unclassified	0	0	4	0
f__Caldithrixaceae_unclassified	0	0	1	0
g__LCP-26_unclassified	0	0	2	0
f__Parachlamydiaceae_unclassified	1	0	1	5
g__Candidatus_Protochlamydia_unclassified	1	0	0	0
g__Candidatus_Rhabdochlamydia_unclassified	1	2	0	1
o__Chlamydiales_unclassified	6	5	2	13
o__A89_unclassified	3	5	0	0
o__C20_unclassified	0	0	0	8
o__PK329_unclassified	0	2	0	11
o__VC38_unclassified	0	0	0	4
f__Ignavibacteriaceae_unclassified	0	0	0	10
f__lheB3-7_unclassified	0	0	0	1
o__Ignavibacteriales_unclassified	0	0	1	10
c__OPB56_unclassified	0	1	3	3
c__SJA-28_unclassified	0	1	0	2
p__Chlorobi_unclassified	0	1	1	2
c__Anaerolineae_unclassified	7	26	78	54
f__S47_unclassified	1	9	0	1
o__A31_unclassified	3	13	1	4
