taxonomy	S1_S1	S2_S3	S3_S5	S4_S7
f__Myxococcaceae_unclassified	49	67	0	6
g__Anaeromyxobacter_unclassified	42	94	2	48
g__Myxococcus_unclassified	1	0	0	0
f__Nannocystaceae_unclassified	0	1	0	2
g__Plesiocystis_unclassified	1	0	1	0
f__OM27_unclassified	2	1	1	0
f__Polyangiaceae_unclassified	38	41	2	25
s__fasciculatus	0	0	0	5
s__cruenta	1	0	0	0
s__flava	0	1	0	1
o__Myxococcales_unclassified	185	172	25	75
f__MND4_unclassified	3	1	0	0
f__NB1-i_unclassified	6	8	0	8
o__NB1-j_unclassified	2	2	0	0
o__NKB15_unclassified	0	0	2	0
o__PB19_unclassified	0	0	1	1
o__Spirobacillales_unclassified	3	0	0	1
f__JTB36_unclassified	4	1	15	7
f__Syntrophaceae_unclassified	0	2	0	7
g__Desulfobacca_unclassified	0	3	0	9
g__Desulfomonile_unclassified	1	4	0	4
g__Syntrophus_unclassified	0	0	0	4
f__Syntrophobacteraceae_unclassified	372	313	18	220
s__adipica	0	0	0	2
g__Syntrophobacter_unclassified	3	13	6	13
f__Syntrophorhabdaceae_unclassified	0	2	0	9
s__aromaticivorans	0	0	1	0
o__Syntrophobacterales_unclassified	13	5	0	5
f__[Entotheonellaceae]_unclassified	26	12	0	2
g__Sulfurimonas_unclassified	0	0	0	1
o__Campylobacterales_unclassified	0	0	1	0
c__Gammaproteobacteria_unclassified	77	65	360	510
o__34P16_unclassified	1	0	0	2
g__Aeromonas_unclassified	1	1	0	0
f__125ds10_unclassified	0	1	0	2
f__211ds20_unclassified	1	0	0	0
f__Alteromonadaceae_unclassified	0	0	2	32
g__Cellvibrio_unclassified	1	1	0	177
g__Marinobacter_unclassified	0	1	8	3
g__Idiomarina_unclassified	0	0	1	0
f__OM60_unclassified	1	0	0	0
o__Alteromonadales_unclassified	0	0	0	7
s__vinosum	0	0	0	1
f__Ectothiorhodospiraceae_unclassified	0	0	12	1
g__Halorhodospira_unclassified	1	0	22	5
s__hydrothermalis	1	0	57	0
o__Chromatiales_unclassified	0	0	5	0
f__Enterobacteriaceae_unclassified	3	5	3	6
g__Yersinia_unclassified	0	2	0	0
f__HTCC2089_unclassified	1	0	2	2
f__Coxiellaceae_unclassified	1	1	0	1
g__Aquicella_unclassified	9	2	0	12
g__Coxiella_unclassified	0	0	0	1
g__Rickettsiella_unclassified	0	0	1	0
f__Legionellaceae_unclassified	2	1	0	3
g__Legionella_unclassified	1	2	0	1
o__Legionellales_unclassified	4	2	0	0
f__Methylococcaceae_unclassified	1	0	1	25
g__Methylocaldum_unclassified	0	1	0	2
s__capsulatus	0	0	0	7
g__Methylomonas_unclassified	0	0	0	2
o__Methylococcales_unclassified	0	0	0	2
g__Candidatus_Portiera_unclassified	1	0	13	12
g__Halomonas_unclassified	0	0	5	0
f__Oceanospirillaceae_unclassified	0	0	0	21
g__Marinobacterium_unclassified	0	1	1	12
g__Marinomonas_unclassified	0	0	1	0
o__Oceanospirillales_unclassified	0	0	3	1
f__Moraxellaceae_unclassified	0	0	0	1
g__Acinetobacter_unclassified	0	0	0	2
g__Perlucidibaca_unclassified	2	0	0	0
f__Pseudomonadaceae_unclassified	0	0	0	1
g__Pseudomonas_unclassified	1	2	2	5
g__Salinisphaera_unclassified	0	0	7	0
g__Thiohalorhabdus_unclassified	0	0	6	0
f__Piscirickettsiaceae_unclassified	1	3	0	5
g__Methylophaga_unclassified	0	0	1	0
g__Thiomicrospira_unclassified	0	0	1	0
o__Thiotrichales_unclassified	0	0	0	1
s__luteoviolacea	0	0	0	1
f__Sinobacteraceae_unclassified	76	49	0	19
g__Nevskia_unclassified	1	0	0	2
s__perspica	0	1	0	0
g__Steroidobacter_unclassified	16	4	0	8
f__Xanthomonadaceae_unclassified	10	18	1	206
g__Arenimonas_unclassified	1	0	0	3
g__Dokdonella_unclassified	0	1	0	1
s__ginsengisoli	1	3	0	15
g__Ignatzschineria_unclassified	0	0	0	2
s__yangpyeongensis	2	0	0	1
g__Pseudoxanthomonas_unclassified	1	0	0	0
g__Rhodanobacter_unclassified	0	0	0	1
s__cellulosilytica	1	0	0	0
s__geniculata	0	0	0	1
o__Xanthomonadales_unclassified	3	4	1	1
f__[Marinicellaceae]_unclassified	0	0	0	4
o__PHOS-HD29_unclassified	1	0	0	0
g__Mariprofundus_unclassified	0	0	1	0
p__Proteobacteria_unclassified	461	515	324	619
c__AB16_unclassified	0	0	2	0
o__ST-3K15_unclassified	5	0	58	0
p__SAR406_unclassified	0	0	1	0
c__EC214_unclassified	1	0	19	1
p__SBR1093_unclassified	1	0	0	0
c__Spirochaetes_unclassified	0	3	2	8
f__Spirochaetaceae_unclassified	2	4	127	5
g__Spirochaeta_unclassified	4	0	69	0
f__A0-023_unclassified	1	0	7	0
g__Leptonema_unclassified	0	0	0	1
p__Spirochaetes_unclassified	0	0	2	0
f__Thermovirgaceae_unclassified	0	0	1	0
c__SBRH58_unclassified	0	1	0	1
c__SJA-4_unclassified	10	1	1	8
o__S1198_unclassified	1	0	0	0
p__TM6_unclassified	1	0	0	1
c__SC3_unclassified	9	3	1	3
c__TM7-1_unclassified	1	1	0	0
g__Asteroleplasma_unclassified	0	1	0	2
g__Kosmotoga_unclassified	1	0	0	0
c__Opitutae_unclassified	0	1	0	3
f__Opitutaceae_unclassified	0	0	0	2
g__Opitutus_unclassified	10	14	0	55
g__Coraliomargarita_unclassified	0	0	2	0
o__LD1-PB3_unclassified	0	0	0	1
f__Verrucomicrobiaceae_unclassified	1	0	0	0
g__Luteolibacter_unclassified	1	0	0	0
s__spinosum	1	2	0	2
o__Methylacidiphilales_unclassified	0	1	0	0
o__S-BQ2-57_unclassified	3	6	0	11
c__[Pedosphaerae]_unclassified	0	1	1	0
f__Ellin515_unclassified	141	260	0	155
f__Ellin517_unclassified	11	10	0	7
f__OPB35_unclassified	12	19	0	0
f__R4-41B_unclassified	0	0	0	2
g__Pedosphaera_unclassified	8	2	0	2
f__auto67_4W_unclassified	22	18	0	163
o__[Pedosphaerales]_unclassified	55	82	5	91
f__[Chthoniobacteraceae]_unclassified	18	12	0	11
g__Candidatus_Xiphinematobacter_unclassified	31	7	0	4
g__Chthoniobacter_unclassified	5	8	0	0
g__DA101_unclassified	1001	888	3	197
g__Ellin506_unclassified	0	3	0	0
g__OR-59_unclassified	5	2	0	0
g__heteroC45_4W_unclassified	0	0	0	1
o__[Chthoniobacterales]_unclassified	39	30	0	6
p__Verrucomicrobia_unclassified	31	38	3	36
p__WPS-2_unclassified	13	1	0	3
p__WS1_unclassified	1	0	3	0
c__SHA-109_unclassified	0	0	0	3
o__LD1-PA13_unclassified	0	1	0	2
o__PBS-III-9_unclassified	0	0	1	0
f__CV106_unclassified	0	0	0	9
f__PRR-10_unclassified	32	50	0	18
o__Sediment-1_unclassified	10	10	0	31
o__wb1_H11_unclassified	0	1	0	1
p__WS4_unclassified	0	2	1	1
g__B-42_unclassified	3	0	22	1
o__Deinococcales_unclassified	0	0	1	0
