	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
T1	0.0	0.72401569819	0.348651728067	0.298265603241	0.750221547031	0.825927332574	0.947968097227	0.958349158121	0.826686922395	0.687048993543	0.852766172933	0.933535890619	0.830484871503	0.953918217496	0.913280162046	0.68337764274	0.974427142676	0.699329028991
TS4	0.72401569819	0.0	0.679326497025	0.775794404355	0.89150525383	0.78870743132	0.411571084947	0.974173946069	0.388530193695	0.75794404355	0.298012406634	0.420179769591	0.361564755032	0.351816685656	0.71553361185	0.618432713002	0.460944423345	0.88517533865
T9	0.348651728067	0.679326497025	0.0	0.371945815926	0.798835295607	0.834789213825	0.93923281428	0.962653500443	0.830105076592	0.678946702114	0.842511710343	0.921002658564	0.821749588556	0.94594252437	0.90036713508	0.6748955564	0.965691859729	0.690593746044
T2	0.298265603241	0.775794404355	0.371945815926	0.0	0.758830231675	0.827066717306	0.962273705532	0.956450183568	0.833649829092	0.573363716926	0.863273832131	0.942904165084	0.844917078111	0.970249398658	0.929611343208	0.575009494873	0.989239144195	0.56855298139
MN15	0.750221547031	0.89150525383	0.798835295607	0.758830231675	0.0	0.572857323712	0.992657298392	0.609444233447	0.994429674642	0.992530700089	0.942650968477	0.994936067857	0.994809469553	0.978984681605	0.942271173566	0.991138118749	0.996202050893	0.993163691607
MN12	0.825927332574	0.78870743132	0.834789213825	0.827066717306	0.572857323712	0.0	0.973794151158	0.694644891758	0.998101025446	0.996075452589	0.911001392581	0.998354222053	0.998354222053	0.858716293202	0.821749588556	0.994303076339	0.998607418661	0.994936067857
SM2	0.947968097227	0.411571084947	0.93923281428	0.962273705532	0.992657298392	0.973794151158	0.0	0.997468033928	0.256361564755	0.836561590075	0.194961387517	0.303835928599	0.237371819218	0.399164451196	0.875427269275	0.664008102291	0.0535510824155	0.965565261425
MN13	0.958349158121	0.974173946069	0.962653500443	0.956450183568	0.609444233447	0.694644891758	0.997468033928	0.0	0.998734016964	0.99683504241	0.976705912141	0.998860615268	0.998860615268	0.986074186606	0.976452715534	0.995442461071	0.999240410179	0.997847828839
MT213	0.826686922395	0.388530193695	0.830105076592	0.833649829092	0.994429674642	0.998101025446	0.256361564755	0.998734016964	0.0	0.677300924168	0.205469046715	0.225598176984	0.126978098493	0.424230915306	0.899354348652	0.532978858083	0.270034181542	0.812128117483
TL1	0.687048993543	0.75794404355	0.678946702114	0.573363716926	0.992530700089	0.996075452589	0.836561590075	0.99683504241	0.677300924168	0.0	0.773642233194	0.803013039625	0.685656412204	0.857703506773	0.917584504368	0.288011140651	0.863020635523	0.28446638815
SM4	0.852766172933	0.298012406634	0.842511710343	0.863273832131	0.942650968477	0.911001392581	0.194961387517	0.976705912141	0.205469046715	0.773642233194	0.0	0.291049499937	0.177617419927	0.364856310925	0.818584630966	0.602987719965	0.238131409039	0.902392707938
MT210	0.933535890619	0.420179769591	0.921002658564	0.942904165084	0.994936067857	0.998354222053	0.303835928599	0.998860615268	0.225598176984	0.803013039625	0.291049499937	0.0	0.256108368148	0.421698949234	0.899860741866	0.648436510951	0.315356374225	0.93075072794
MT209	0.830484871503	0.361564755032	0.821749588556	0.844917078111	0.994809469553	0.998354222053	0.237371819218	0.998860615268	0.126978098493	0.685656412204	0.177617419927	0.256108368148	0.0	0.424863906824	0.899227750348	0.532978858083	0.253070008862	0.814153690341
TS6	0.953918217496	0.351816685656	0.94594252437	0.970249398658	0.978984681605	0.858716293202	0.399164451196	0.986074186606	0.424230915306	0.857703506773	0.364856310925	0.421698949234	0.424863906824	0.0	0.495885555134	0.763767565515	0.430054437271	0.984175212052
TS8	0.913280162046	0.71553361185	0.90036713508	0.929611343208	0.942271173566	0.821749588556	0.875427269275	0.976452715534	0.899354348652	0.917584504368	0.818584630966	0.899860741866	0.899227750348	0.495885555134	0.0	0.895809596151	0.908342828206	0.981643245981
TL2	0.68337764274	0.618432713002	0.6748955564	0.575009494873	0.991138118749	0.994303076339	0.664008102291	0.995442461071	0.532978858083	0.288011140651	0.602987719965	0.648436510951	0.532978858083	0.763767565515	0.895809596151	0.0	0.690213951133	0.367008482086
SM5	0.974427142676	0.460944423345	0.965691859729	0.989239144195	0.996202050893	0.998607418661	0.0535510824155	0.999240410179	0.270034181542	0.863020635523	0.238131409039	0.315356374225	0.253070008862	0.430054437271	0.908342828206	0.690213951133	0.0	0.992657298392
TL3	0.699329028991	0.88517533865	0.690593746044	0.56855298139	0.993163691607	0.994936067857	0.965565261425	0.997847828839	0.812128117483	0.28446638815	0.902392707938	0.93075072794	0.814153690341	0.984175212052	0.981643245981	0.367008482086	0.992657298392	0.0
