Eigvals	18
0.502301121716	0.369593491023	0.195171724983	0.0384327363958	0.0222351677196	0.0138058233498	0.00432156099073	0.00331453558868	0.00226987544073	0.00147264851041	0.00105154541767	2.12971636173e-05	0.0	0.0	0.0	0.0	0.0	0.0

Proportion explained	18
0.435272798282	0.320274007182	0.169127519741	0.0333041755103	0.0192680510856	0.0119635396025	0.00374488103661	0.0028722356338	0.00196697756012	0.00127613459397	0.000911224555716	1.84552166069e-05	0.0	0.0	0.0	0.0	0.0	0.0

Species	0	0

Site	18	18
T1	-0.0548531358179	0.0986525445472	0.174798035915	0.0257163394075	0.0176852751775	0.0268608704953	0.0309889753384	-0.0274125298394	0.00479285947278	-0.00661859104819	0.0072783311984	0.000149748434739	0.0	0.0	0.0	0.0	0.0	0.0
TS4	-0.145519757852	0.00949860131701	0.0424297521004	-0.0258941976218	0.0305325013709	-0.0608043613865	0.00385825296485	0.000546050322674	-0.0124814292711	-0.00733167343853	0.0067397038118	0.000167549590643	0.0	0.0	0.0	0.0	0.0	0.0
T9	-0.0761813258343	0.104902182075	0.182203073642	0.0441813206431	0.0589863970219	0.02361514946	-0.0267409991969	0.0217189434398	0.00313322971857	0.00398596888239	-0.00749561844093	-0.000370100311538	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0605470727355	0.103790600152	0.176083969688	-0.00584166761706	-0.0549122481154	-0.0197710076939	-0.00412312669376	0.00116221148451	-0.000547452464356	0.00426562917888	-0.00271751831672	3.21268113948e-05	0.0	0.0	0.0	0.0	0.0	0.0
MN15	0.0941639244095	-0.286718060237	0.110983325395	-0.138360978767	0.0366508645861	0.0100880942034	-0.00127533284601	-0.00127955968753	0.00558895528166	-0.0011040439007	-0.00139973099836	-0.000106778332687	0.0	0.0	0.0	0.0	0.0	0.0
MN12	0.00740991748259	-0.24681755266	0.105675076696	0.0814875335967	-0.0418968697655	-0.0392595384298	0.00305370194363	0.00688683905812	-0.00511616699557	-0.00160976277556	0.00294200532648	0.000144426540968	0.0	0.0	0.0	0.0	0.0	0.0
SM2	-0.123370761212	0.00848047310805	-0.120720238203	-0.0136391765928	-0.0087329344137	0.0035121866664	-0.00497495935867	-0.00324306251055	0.00273527657687	-0.00185998121558	0.00137813233539	0.0029751957814	0.0	0.0	0.0	0.0	0.0	0.0
MN13	0.18606411229	-0.364229004427	-0.0900121718197	0.0723470147586	0.0110394422671	0.0242955259733	-0.000881178322488	-0.00533847482717	0.00178306662134	0.00204946151126	-0.00186720456678	-0.000132419881262	0.0	0.0	0.0	0.0	0.0	0.0
MT213	-0.0394291336685	0.074667875201	-0.076339259359	0.0292011655828	0.0372745431234	0.00246276550939	0.0172726976843	-0.00265030558677	-0.00682393365933	-0.0143618204863	-0.0202585431458	0.000116209495927	0.0	0.0	0.0	0.0	0.0	0.0
TL1	0.320221961581	0.123878298132	-0.0396995596117	-0.0227287022318	-0.0105039452995	0.00063881198328	0.0358917994569	0.0268009607657	-0.00236026959616	0.0119886981216	-0.00115410838935	0.000254983243535	0.0	0.0	0.0	0.0	0.0	0.0
SM4	-0.106769350947	0.016797859219	-0.0645104652499	-0.0124275312711	0.0171729859443	-0.0113027942765	-0.0078637595088	-0.0192357680328	-0.0227429673067	0.0236201002765	-0.0048517891858	0.000206128459807	0.0	0.0	0.0	0.0	0.0	0.0
MT210	-0.107740371446	0.0190749879415	-0.117167525669	-0.00885975127605	0.00167632570745	-0.00121967993199	0.000702491886102	0.00702068888751	-0.0104963872923	-0.00601534212014	0.00846717421942	-0.00292655553855	0.0	0.0	0.0	0.0	0.0	0.0
MT209	-0.0311262711533	0.0744045317748	-0.068113236268	0.0346263441566	0.0524170956197	0.00566631839095	-0.00277984156534	0.00774352985143	0.0127332037044	0.00702239852006	0.0169441059924	0.000701143323181	0.0	0.0	0.0	0.0	0.0	0.0
TS6	-0.176795794764	-0.00895844133173	-0.0300214231195	-0.0211005062147	-0.0398817402699	-0.0155483813049	-0.007197309398	0.0136400146016	0.0104278117244	-0.00725685551621	-0.00387627697534	0.000765832525495	0.0	0.0	0.0	0.0	0.0	0.0
TS8	-0.240331540201	0.00251306344372	0.0219272094616	-0.0136852389109	-0.0670049311189	0.0637108660675	0.00072056960949	-0.00103254155613	-0.00398384894681	0.00465146853523	0.000775808420508	-0.000456314059506	0.0	0.0	0.0	0.0	0.0	0.0
TL2	0.199647169537	0.129287709545	-0.0332361283888	0.00464028721964	-0.0142190521554	-0.0341107157406	-0.0132449513369	-0.0241563435437	0.0227060847429	0.00525652180479	-0.00468946018042	-0.00108415237476	0.0	0.0	0.0	0.0	0.0	0.0
SM5	-0.133511437233	0.00589150390317	-0.136368932043	-0.0176139221378	-0.00954754733738	-0.0023920949188	0.00277885262249	0.00300157952391	0.0166178702637	-0.00144686051299	-0.00227406819814	-0.000912821457885	0.0	0.0	0.0	0.0	0.0	0.0
TL3	0.367574722093	0.134882828297	-0.0379115031683	-0.0120483327243	-0.0167361623429	0.0235579849335	-0.0261858832793	-0.00417223235122	-0.0159659025742	-0.0152353158166	0.00605905709317	0.000475797749109	0.0	0.0	0.0	0.0	0.0	0.0

Biplot	0	0

Site constraints	0	0
