	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_2086_8.txt	2086	8	134.0	71.0	83.0	76.0	30.0	42.0
alpha_rarefaction_2086_9.txt	2086	9	124.0	73.0	82.0	76.0	30.0	41.0
alpha_rarefaction_2432_0.txt	2432	0	131.0	73.0	89.0	79.0	27.0	37.0
alpha_rarefaction_2432_1.txt	2432	1	133.0	76.0	85.0	78.0	31.0	38.0
alpha_rarefaction_2432_2.txt	2432	2	133.0	77.0	94.0	81.0	32.0	38.0
alpha_rarefaction_2432_3.txt	2432	3	130.0	75.0	87.0	78.0	31.0	44.0
alpha_rarefaction_2432_4.txt	2432	4	131.0	72.0	95.0	75.0	33.0	42.0
alpha_rarefaction_2432_5.txt	2432	5	131.0	74.0	88.0	78.0	33.0	42.0
alpha_rarefaction_2432_6.txt	2432	6	133.0	75.0	98.0	79.0	34.0	45.0
alpha_rarefaction_2432_7.txt	2432	7	134.0	74.0	87.0	81.0	31.0	43.0
alpha_rarefaction_2432_8.txt	2432	8	134.0	73.0	78.0	76.0	30.0	44.0
alpha_rarefaction_2432_9.txt	2432	9	133.0	73.0	84.0	79.0	33.0	41.0
alpha_rarefaction_2778_0.txt	2778	0	138.0	73.0	90.0	78.0	36.0	43.0
alpha_rarefaction_2778_1.txt	2778	1	137.0	73.0	87.0	81.0	32.0	49.0
alpha_rarefaction_2778_2.txt	2778	2	142.0	77.0	96.0	83.0	37.0	43.0
alpha_rarefaction_2778_3.txt	2778	3	133.0	76.0	94.0	81.0	35.0	43.0
alpha_rarefaction_2778_4.txt	2778	4	142.0	78.0	88.0	85.0	30.0	48.0
alpha_rarefaction_2778_5.txt	2778	5	138.0	76.0	101.0	87.0	32.0	45.0
alpha_rarefaction_2778_6.txt	2778	6	136.0	74.0	97.0	86.0	35.0	46.0
alpha_rarefaction_2778_7.txt	2778	7	142.0	76.0	97.0	79.0	30.0	42.0
alpha_rarefaction_2778_8.txt	2778	8	139.0	75.0	98.0	81.0	32.0	42.0
alpha_rarefaction_2778_9.txt	2778	9	141.0	80.0	98.0	82.0	35.0	46.0
alpha_rarefaction_3124_0.txt	3124	0	146.0	79.0	100.0	87.0	36.0	49.0
alpha_rarefaction_3124_1.txt	3124	1	137.0	75.0	101.0	83.0	35.0	49.0
alpha_rarefaction_3124_2.txt	3124	2	142.0	78.0	90.0	86.0	36.0	47.0
alpha_rarefaction_3124_3.txt	3124	3	140.0	77.0	104.0	86.0	36.0	48.0
alpha_rarefaction_3124_4.txt	3124	4	135.0	78.0	96.0	85.0	35.0	45.0
alpha_rarefaction_3124_5.txt	3124	5	143.0	78.0	102.0	86.0	37.0	42.0
alpha_rarefaction_3124_6.txt	3124	6	137.0	80.0	92.0	86.0	35.0	46.0
alpha_rarefaction_3124_7.txt	3124	7	141.0	79.0	96.0	82.0	35.0	45.0
alpha_rarefaction_3124_8.txt	3124	8	134.0	78.0	93.0	87.0	36.0	45.0
alpha_rarefaction_3124_9.txt	3124	9	142.0	78.0	89.0	87.0	33.0	48.0
alpha_rarefaction_3470_0.txt	3470	0	142.0	79.0	99.0	88.0	37.0	43.0
alpha_rarefaction_3470_1.txt	3470	1	147.0	80.0	101.0	87.0	37.0	49.0
alpha_rarefaction_3470_2.txt	3470	2	141.0	79.0	107.0	88.0	37.0	48.0
alpha_rarefaction_3470_3.txt	3470	3	141.0	81.0	96.0	88.0	37.0	48.0
alpha_rarefaction_3470_4.txt	3470	4	147.0	80.0	97.0	88.0	37.0	46.0
alpha_rarefaction_3470_5.txt	3470	5	138.0	80.0	97.0	88.0	37.0	54.0
alpha_rarefaction_3470_6.txt	3470	6	140.0	79.0	94.0	88.0	37.0	51.0
alpha_rarefaction_3470_7.txt	3470	7	141.0	76.0	101.0	87.0	37.0	42.0
alpha_rarefaction_3470_8.txt	3470	8	145.0	77.0	92.0	88.0	37.0	50.0
alpha_rarefaction_3470_9.txt	3470	9	145.0	77.0	94.0	88.0	37.0	47.0
