# Constructed from biom file
#OTU ID	S1t1t16s	S2t1t16s	S3t1t16s	S4t1t16s
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__	0.0	0.0	0.0	0.00144927536232
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__	0.0	0.0	0.0	0.00289855072464
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X	0.0	0.0	0.0	0.0333333333333
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.0	0.0	0.0	0.00434782608696
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae	0.00434782608696	0.0	0.311594202899	0.00144927536232
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MSBL1	0.0	0.0	0.00434782608696	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__DHVEG-1	0.0	0.0	0.0478260869565	0.0
k__Bacteria;p__AD3;c__ABS-6;o__;f__	0.0159420289855	0.0101449275362	0.0	0.0
k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__	0.00144927536232	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__	0.00724637681159	0.0173913043478	0.0	0.00434782608696
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__	0.00144927536232	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	0.0884057971014	0.0579710144928	0.0	0.0507246376812
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	0.0	0.00434782608696	0.0	0.0130434782609
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae	0.11884057971	0.133333333333	0.00144927536232	0.226086956522
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__	0.0	0.0	0.0	0.00289855072464
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__	0.036231884058	0.0231884057971	0.0	0.0376811594203
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__	0.00434782608696	0.00289855072464	0.0	0.00434782608696
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae	0.00869565217391	0.00579710144928	0.00144927536232	0.0101449275362
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__	0.00289855072464	0.0	0.0	0.0
