# Constructed from biom file
#OTU ID	S1t1t16s	S2t1t16s	S3t1t16s	S4t1t16s
k__Archaea;p__Crenarchaeota	0.0	0.0	0.0	0.0420289855072
k__Archaea;p__Euryarchaeota	0.00434782608696	0.0	0.363768115942	0.00144927536232
k__Bacteria;p__AD3	0.0173913043478	0.0101449275362	0.0	0.0
k__Bacteria;p__Acidobacteria	0.285507246377	0.285507246377	0.00434782608696	0.371014492754
k__Bacteria;p__Actinobacteria	0.0391304347826	0.0463768115942	0.0144927536232	0.0536231884058
k__Bacteria;p__Bacteroidetes	0.00869565217391	0.0115942028986	0.13768115942	0.0260869565217
k__Bacteria;p__Chloroflexi	0.0217391304348	0.00144927536232	0.0478260869565	0.00434782608696
k__Bacteria;p__Elusimicrobia	0.00144927536232	0.0	0.0	0.00289855072464
k__Bacteria;p__Firmicutes	0.00579710144928	0.0101449275362	0.00579710144928	0.00724637681159
k__Bacteria;p__Gemmatimonadetes	0.0101449275362	0.031884057971	0.0826086956522	0.00434782608696
k__Bacteria;p__Nitrospirae	0.0347826086957	0.0434782608696	0.0	0.0130434782609
k__Bacteria;p__OP1	0.0	0.0	0.0942028985507	0.0
k__Bacteria;p__OP8	0.0	0.0	0.00434782608696	0.0
k__Bacteria;p__Planctomycetes	0.0	0.00289855072464	0.0	0.0
k__Bacteria;p__Proteobacteria	0.276811594203	0.269565217391	0.234782608696	0.36231884058
k__Bacteria;p__Spirochaetes	0.0	0.0	0.00869565217391	0.0
k__Bacteria;p__Verrucomicrobia	0.292753623188	0.286956521739	0.00144927536232	0.095652173913
k__Bacteria;p__WS3	0.00144927536232	0.0	0.0	0.0159420289855
