sequences per sample	D1af	D3af	D5bf	D1bf	C12	C11
2086	125.3	70.9	86.2	71.8	30.2	39.4
1394	112.2	63.4	75.2	61.2	25.8	32.4
356	55.9	38.3	45.8	26.2	10.0	15.2
10	4.4	3.4	5.2	4.1	1.3	1.4
3124	140.7	77.3	93.7	85.2	35.4	45.5
2778	138.9	76.0	93.8	80.8	33.7	47.5
2432	132.7	72.3	89.3	79.4	32.8	41.1
1740	123.7	67.2	79.8	68.5	27.9	37.6
1048	99.8	57.7	69.8	51.5	20.9	28.2
702	81.6	50.4	60.9	40.9	17.6	23.2
3470	144.3	78.3	96.2	87.7	36.9	49.4
