	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_2086_8.txt	2086	8	122.0	71.0	76.0	73.0	29.0	43.0
alpha_rarefaction_2086_9.txt	2086	9	125.0	70.0	88.0	79.0	28.0	42.0
alpha_rarefaction_2432_0.txt	2432	0	132.0	69.0	93.0	78.0	33.0	44.0
alpha_rarefaction_2432_1.txt	2432	1	128.0	74.0	79.0	83.0	34.0	42.0
alpha_rarefaction_2432_2.txt	2432	2	139.0	76.0	91.0	81.0	31.0	39.0
alpha_rarefaction_2432_3.txt	2432	3	133.0	72.0	87.0	82.0	33.0	42.0
alpha_rarefaction_2432_4.txt	2432	4	133.0	70.0	96.0	84.0	33.0	37.0
alpha_rarefaction_2432_5.txt	2432	5	133.0	74.0	85.0	77.0	30.0	43.0
alpha_rarefaction_2432_6.txt	2432	6	131.0	68.0	87.0	80.0	35.0	43.0
alpha_rarefaction_2432_7.txt	2432	7	129.0	74.0	94.0	73.0	33.0	38.0
alpha_rarefaction_2432_8.txt	2432	8	136.0	71.0	92.0	77.0	33.0	41.0
alpha_rarefaction_2432_9.txt	2432	9	133.0	75.0	89.0	79.0	33.0	42.0
alpha_rarefaction_2778_0.txt	2778	0	142.0	75.0	97.0	81.0	35.0	46.0
alpha_rarefaction_2778_1.txt	2778	1	139.0	71.0	88.0	85.0	33.0	47.0
alpha_rarefaction_2778_2.txt	2778	2	135.0	77.0	90.0	78.0	34.0	53.0
alpha_rarefaction_2778_3.txt	2778	3	138.0	79.0	96.0	84.0	33.0	41.0
alpha_rarefaction_2778_4.txt	2778	4	139.0	76.0	95.0	85.0	31.0	46.0
alpha_rarefaction_2778_5.txt	2778	5	140.0	73.0	98.0	81.0	34.0	46.0
alpha_rarefaction_2778_6.txt	2778	6	145.0	79.0	92.0	80.0	35.0	48.0
alpha_rarefaction_2778_7.txt	2778	7	136.0	77.0	94.0	75.0	35.0	49.0
alpha_rarefaction_2778_8.txt	2778	8	139.0	77.0	91.0	82.0	32.0	50.0
alpha_rarefaction_2778_9.txt	2778	9	136.0	76.0	97.0	77.0	35.0	49.0
alpha_rarefaction_3124_0.txt	3124	0	140.0	78.0	96.0	83.0	35.0	41.0
alpha_rarefaction_3124_1.txt	3124	1	143.0	78.0	91.0	86.0	36.0	46.0
alpha_rarefaction_3124_2.txt	3124	2	142.0	72.0	100.0	86.0	34.0	53.0
alpha_rarefaction_3124_3.txt	3124	3	141.0	75.0	93.0	86.0	35.0	44.0
alpha_rarefaction_3124_4.txt	3124	4	138.0	78.0	96.0	86.0	35.0	47.0
