OTU	Test-Statistic	P	FDR_P	Bonferroni_P	MN_mean	MT_mean	TL_mean	SM_mean	TC_mean	TA_mean	taxonomy
New.CleanUp.ReferenceOTU10805	16.8337408313	0.00482614780554	0.0612555424505	1.0	8.0	0.0	0.0	0.0	0.0	0.0	Unassigned
New.CleanUp.ReferenceOTU11376	16.8337408313	0.00482614780554	0.0612555424505	1.0	22.6666666667	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
New.CleanUp.ReferenceOTU13638	16.8008784773	0.00489333601454	0.0612555424505	1.0	0.0	0.0	8.0	0.0	0.0	2.66666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__
217623	16.3451257862	0.00592478478418	0.0612555424505	1.0	22.0	0.0	0.0	0.0	15.6666666667	76.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio
2981825	16.0644654088	0.00666241219074	0.0612555424505	1.0	23.3333333333	0.0	0.0	0.0	2.0	141.666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
140967	15.9644343549	0.00694635241539	0.0612555424505	1.0	22.6666666667	0.0	0.333333333333	0.0	1.33333333333	418.666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
New.ReferenceOTU45	15.7586076428	0.007568142373	0.0612555424505	1.0	121.0	0.333333333333	0.0	0.0	2.33333333333	285.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
1142684	15.75	0.0075952922882	0.0612555424505	1.0	7.33333333333	0.0	0.333333333333	0.0	0.0	15.6666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
New.ReferenceOTU5	15.7259100642	0.00767178059477	0.0612555424505	1.0	108.333333333	0.0	1.66666666667	1.0	11.3333333333	1050.66666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
785565	15.6361581921	0.00796340510589	0.0612555424505	1.0	139.666666667	0.0	0.0	0.333333333333	22.6666666667	262.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__
530962	15.6212121212	0.00801300426179	0.0612555424505	1.0	8.33333333333	0.0	0.0	0.0	0.333333333333	18.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio
New.CleanUp.ReferenceOTU1559	15.4868713841	0.00847251465371	0.0612555424505	1.0	25.3333333333	0.333333333333	0.0	0.0	0.0	96.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
New.CleanUp.ReferenceOTU13470	15.4798488665	0.00849722681193	0.0612555424505	1.0	0.0	1.0	7.33333333333	0.0	0.0	2.0	Unassigned
239537	15.4490592829	0.00860640444113	0.0612555424505	1.0	0.0	6.33333333333	129.666666667	0.666666666667	8.0	49.3333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__
New.ReferenceOTU37	15.3625730994	0.00892042148307	0.0612555424505	1.0	1.66666666667	1607.66666667	97.3333333333	1559.0	736.0	50.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicimonaceae; g__; s__
739464	15.3608815427	0.0089266729042	0.0612555424505	1.0	1.66666666667	5012.66666667	632.0	4122.0	3069.0	83.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicimonaceae; g__; s__
