# Constructed from biom file
#OTU ID	MN	MT	SM	TA	TC	TL
Unassigned;Other;Other;Other	0.00848208634004	0.00666751065536	0.00392454741106	0.0048951344052	0.00548592648859	0.0090306789889
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	0.0	4.21994345276e-05	0.0	0.000548592648859	0.000210997172638	0.00143478077394
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.0	0.0	0.0	0.000210997172638	8.43988690552e-05	0.000590792083386
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	0.0	0.00113938473224	0.00274296324429	0.00130818247035	0.00649871291725
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	0.0	4.21994345276e-05	0.000506393214331	0.00628771574461	0.000126598303583	0.00717390386969
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.0019833734228	0.0	0.0	0.0	0.0	0.00126598303583
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.000210997172638	0.0	0.0	0.00384014854201	0.000379794910748	0.00312275815504
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.00350255306579	0.0	0.00139258133941	0.00206777229185	0.000379794910748	0.00814449086382
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales]	0.0	0.0	0.0	0.0	0.0	0.00185677511921
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.000506393214331	0.0346457357471	0.00953707220323	0.0835970797991	0.00806009199477	0.19424399713
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales	0.0	0.00109718529772	0.000295396041693	0.00341815419673	4.21994345276e-05	0.0135882179179
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	0.00016879773811	0.00375574967295	0.00126598303583	0.0149807992573	0.00219437059543	0.0368401063426
