	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_2086_0.txt	2086	0	7.0579	3.61408	6.38435	3.72534	1.92479	1.99769
alpha_rarefaction_2086_1.txt	2086	1	6.53883	3.97645	6.31957	3.68423	1.95481	2.66457
alpha_rarefaction_2086_2.txt	2086	2	7.07303	3.93727	6.85637	3.49717	1.75331	2.71369
alpha_rarefaction_2086_3.txt	2086	3	7.03679	4.0605	6.50587	3.64288	1.82007	2.09731
alpha_rarefaction_2086_4.txt	2086	4	7.12509	3.85234	6.60835	3.17662	1.55258	2.44829
alpha_rarefaction_2086_5.txt	2086	5	7.04509	3.95831	6.78291	3.50188	1.87128	1.66281
alpha_rarefaction_2086_6.txt	2086	6	7.10708	3.90367	6.26318	3.52238	1.40063	2.66897
alpha_rarefaction_2086_7.txt	2086	7	6.89676	4.08958	6.5648	3.46262	1.86324	2.44585
alpha_rarefaction_2086_8.txt	2086	8	6.9603	3.94009	6.19832	3.61797	1.89757	2.7498
alpha_rarefaction_2086_9.txt	2086	9	6.53741	3.59796	6.74341	3.7514	1.68841	2.56043
alpha_rarefaction_2432_0.txt	2432	0	7.2566	4.01773	6.88146	3.86663	1.99681	2.65021
alpha_rarefaction_2432_1.txt	2432	1	6.91857	3.95403	6.54217	3.90659	1.96742	2.44761
alpha_rarefaction_2432_2.txt	2432	2	7.19615	4.13079	6.49538	3.63292	1.70394	2.12385
alpha_rarefaction_2432_3.txt	2432	3	7.28942	3.94005	6.15747	3.51411	1.83921	2.52911
alpha_rarefaction_2432_4.txt	2432	4	7.50299	4.06457	6.86305	3.87338	1.95874	2.09981
alpha_rarefaction_2432_5.txt	2432	5	7.02283	4.02719	6.58807	3.54152	1.56943	2.21386
alpha_rarefaction_2432_6.txt	2432	6	7.36841	3.77501	6.80649	3.84774	1.99696	2.5754
alpha_rarefaction_2432_7.txt	2432	7	6.9134	4.13073	6.77107	3.55561	1.97356	2.38124
alpha_rarefaction_2432_8.txt	2432	8	7.2458	3.98035	6.34948	3.81133	1.6553	2.38025
alpha_rarefaction_2432_9.txt	2432	9	7.38108	3.96189	6.60614	3.68181	1.72394	2.38898
alpha_rarefaction_2778_0.txt	2778	0	7.49833	4.14494	6.77355	3.81773	1.89844	2.3686
alpha_rarefaction_2778_1.txt	2778	1	7.24123	4.07706	6.75613	3.90729	1.96655	2.99766
alpha_rarefaction_2778_2.txt	2778	2	7.07123	4.16715	6.74363	3.80232	1.87088	2.88087
alpha_rarefaction_2778_3.txt	2778	3	7.54167	4.17491	6.6508	3.81013	1.9813	2.40188
alpha_rarefaction_2778_4.txt	2778	4	7.18586	3.88491	6.76494	3.91582	1.82541	3.33045
alpha_rarefaction_2778_5.txt	2778	5	7.62125	4.05592	6.77831	3.88836	1.87011	2.66151
alpha_rarefaction_2778_6.txt	2778	6	7.33438	4.02776	6.7736	3.87638	1.89693	2.54226
alpha_rarefaction_2778_7.txt	2778	7	7.39829	4.13811	6.75794	3.80503	1.99657	2.59139
alpha_rarefaction_2778_8.txt	2778	8	7.4493	4.14222	6.58248	3.71053	1.85934	2.72444
alpha_rarefaction_2778_9.txt	2778	9	7.20315	4.13531	6.96086	3.65497	1.77796	2.4495
alpha_rarefaction_3124_0.txt	3124	0	7.33241	4.19057	6.76039	3.80736	2.01216	2.29233
alpha_rarefaction_3124_1.txt	3124	1	7.47981	4.15774	6.44273	3.92287	2.01566	2.55254
alpha_rarefaction_3124_2.txt	3124	2	7.4541	3.8754	6.77922	3.92786	1.87458	2.66102
alpha_rarefaction_3124_3.txt	3124	3	7.37017	4.15196	6.64312	3.92952	1.99282	2.73374
alpha_rarefaction_3124_4.txt	3124	4	7.37057	4.14983	6.93002	3.93443	2.0011	2.53766
alpha_rarefaction_3124_5.txt	3124	5	7.29865	4.09256	6.78565	3.94463	2.01972	2.61121
alpha_rarefaction_3124_6.txt	3124	6	7.18887	4.17694	6.53267	3.86674	2.00416	2.6415
alpha_rarefaction_3124_7.txt	3124	7	7.35151	4.12839	6.38321	3.7677	1.99654	2.60177
