	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	2.04643934467	0.468995593589	1.68547529723	1.48547529723	-0.0	-0.0
alpha_rarefaction_10_1.txt	10	1	2.44643934467	1.35677964945	2.32192809489	2.12192809489	-0.0	0.468995593589
alpha_rarefaction_10_2.txt	10	2	1.57095059445	0.468995593589	1.84643934467	2.17095059445	0.468995593589	0.468995593589
alpha_rarefaction_10_3.txt	10	3	1.35677964945	1.96096404744	1.35677964945	1.68547529723	-0.0	-0.0
alpha_rarefaction_10_4.txt	10	4	1.57095059445	1.68547529723	2.52192809489	1.37095059445	-0.0	0.468995593589
alpha_rarefaction_10_5.txt	10	5	1.57095059445	1.35677964945	1.84643934467	1.68547529723	0.468995593589	-0.0
alpha_rarefaction_10_6.txt	10	6	2.52192809489	1.35677964945	1.96096404744	1.68547529723	-0.0	-0.0
alpha_rarefaction_10_7.txt	10	7	0.970950594455	-0.0	1.96096404744	2.44643934467	0.721928094887	-0.0
alpha_rarefaction_10_8.txt	10	8	2.12192809489	1.35677964945	2.64643934467	1.57095059445	-0.0	0.468995593589
alpha_rarefaction_10_9.txt	10	9	1.29546184424	1.35677964945	2.16096404744	1.36096404744	-0.0	-0.0
alpha_rarefaction_356_0.txt	356	0	3.25685321567	1.59844161097	3.50971935184	2.70420271987	0.383473872705	0.648490279431
alpha_rarefaction_356_1.txt	356	1	3.14733527852	1.90035479585	3.26986036302	2.38754375409	0.514355753727	0.79098096505
alpha_rarefaction_356_2.txt	356	2	3.43757562703	1.63178481905	3.15794950345	2.55170383052	0.400445344558	0.665344212015
alpha_rarefaction_356_3.txt	356	3	3.26479962695	1.67099701152	3.13039001517	2.4631853845	0.541556916887	0.746560915814
alpha_rarefaction_356_4.txt	356	4	3.45789786108	2.01753723904	3.08523858163	2.33020993058	0.343578588839	0.552128801784
alpha_rarefaction_356_5.txt	356	5	2.79621258784	1.80726803137	3.42260918908	2.47299732157	0.321504329587	0.683727738597
alpha_rarefaction_356_6.txt	356	6	3.19957365221	1.69343546269	3.0094325967	2.32408258967	0.541780454398	0.79871941309
alpha_rarefaction_356_7.txt	356	7	3.34651964908	1.88744911703	3.0413703605	2.58283224598	0.3358401408	0.538772376216
alpha_rarefaction_356_8.txt	356	8	3.28996572839	1.83608031763	3.18782857212	2.57474601394	0.593414297118	0.699052077184
alpha_rarefaction_356_9.txt	356	9	3.15992785197	2.19090505716	3.33983827026	2.5094389349	0.300397197113	0.760393680717
alpha_rarefaction_702_0.txt	702	0	3.49278632179	1.72896934972	3.38525413158	2.42987296637	0.413358169987	0.655984963452
alpha_rarefaction_702_1.txt	702	1	3.31190016118	1.83939356012	3.2357603501	2.5694434282	0.434853824601	0.898822891109
alpha_rarefaction_702_2.txt	702	2	3.43722014595	2.10252748359	3.32815057158	2.55071969773	0.497593386511	0.809162477096
alpha_rarefaction_702_3.txt	702	3	3.06039356705	1.69602977481	3.17940004545	2.62540661934	0.432403420626	0.593223673646
alpha_rarefaction_702_4.txt	702	4	3.30998450032	1.95064617064	3.26315394633	2.6179266153	0.476657444786	0.635650706776
alpha_rarefaction_702_5.txt	702	5	3.43749713236	1.88675344899	3.28046335055	2.54231369464	0.503291392209	0.528305418726
alpha_rarefaction_702_6.txt	702	6	3.35295740638	1.76525053122	3.50396130768	2.3930884266	0.553307771382	0.806374113949
alpha_rarefaction_702_7.txt	702	7	3.44581338637	2.03619716515	3.04645728827	2.7039993834	0.569259378015	0.643898833971
alpha_rarefaction_702_8.txt	702	8	3.4240425194	1.93151527123	3.21134963976	2.47997924698	0.391713462305	0.701574081406
alpha_rarefaction_702_9.txt	702	9	3.35967560458	1.79719740848	3.18264611334	2.49591777735	0.351094254397	0.749515662789
alpha_rarefaction_1048_0.txt	1048	0	3.52091034874	1.995303851	3.38258711002	2.65901140134	0.443433662916	0.76567967995
alpha_rarefaction_1048_1.txt	1048	1	3.52241896117	1.92335058561	3.437128406	2.58667073695	0.405467147911	0.64500541787
alpha_rarefaction_1048_2.txt	1048	2	3.5094804397	1.89607926292	3.36308985757	2.40449230074	0.509403340793	0.600579933883
alpha_rarefaction_1048_3.txt	1048	3	3.41325469678	1.8201718026	3.41562182038	2.55004910309	0.481681373687	0.712868398392
alpha_rarefaction_1048_4.txt	1048	4	3.33612938192	1.8837923614	3.35580836501	2.52764643737	0.487149786115	0.675292401712
alpha_rarefaction_1048_5.txt	1048	5	3.39303607886	1.85941397173	3.33112871789	2.64667881892	0.542063928292	0.552279839036
alpha_rarefaction_1048_6.txt	1048	6	3.46193928272	1.99004160126	3.26094727319	2.59467767664	0.496275689216	0.607590042006
alpha_rarefaction_1048_7.txt	1048	7	3.35499726709	1.839016582	3.31079661981	2.55878428015	0.422960977829	0.697162312092
alpha_rarefaction_1048_8.txt	1048	8	3.44720236529	1.95546767276	3.33599592081	2.6481979839	0.492663983423	0.686603943637
alpha_rarefaction_1048_9.txt	1048	9	3.45451192915	1.87869235145	3.25943962609	2.6374829977	0.418017452012	0.618098822602
alpha_rarefaction_1394_0.txt	1394	0	3.4974866863	1.93229979904	3.44725648031	2.56631991653	0.467340320765	0.68711616332
alpha_rarefaction_1394_1.txt	1394	1	3.36862574959	1.84715852224	3.30537872788	2.63201497608	0.52878069338	0.709339248899
alpha_rarefaction_1394_2.txt	1394	2	3.48026435684	1.90451024088	3.34083598607	2.60718214926	0.436850365925	0.676537630035
